"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"26"	"26"	"1"	"1"	"1"	"7.78167206259496"	"ADAM8|101"	"ALOX5AP|241"	"CASKIN2|57513"	"FDPS|2224"	"PYCR1|5831"	"SBDSP1|155370"	"SLC19A1|6573"	"SPTBN2|6712"
"27"	"27"	"1"	"1"	"1"	"7.15319608336922"	"HYAL2|8692"	"PAPD4|167153"	"PYCR1|5831"	"RTKN2|219790"	"SLC11A1|6556"	"SLC19A1|6573"	"TMPRSS4|56649"	"TTYH3|80727"
"28"	"28"	"1"	"1"	"1"	"7.75938631570354"	"CASKIN2|57513"	"DOPEY2|9980"	"IQGAP3|128239"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"29"	"29"	"1"	"1"	"1"	"7.28637073628318"	"ADAM8|101"	"MARCKSL1|65108"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"SUN2|25777"
"30"	"30"	"1"	"1"	"1"	"7.79121063863373"	"ADAM8|101"	"EPAS1|2034"	"GPT2|84706"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"31"	"31"	"1"	"1"	"1"	"7.6604367182191"	"ADAM8|101"	"CASKIN2|57513"	"COL17A1|1308"	"LMO7|4008"	"PYCR1|5831"	"SLC19A1|6573"	"SNX17|9784"	"SPTBN2|6712"
"32"	"32"	"1"	"1"	"1"	"7.66017481137601"	"CYP51A1|1595"	"EPAS1|2034"	"LGR4|55366"	"LTF|4057"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"33"	"33"	"1"	"1"	"1"	"6.91436977450273"	"CA9|768"	"CLEC2D|29121"	"DOPEY2|9980"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"34"	"34"	"1"	"1"	"1"	"7.2571192602336"	"C13orf1|57213"	"CASKIN2|57513"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"RAB6A|5870"	"SLC19A1|6573"	"SPTBN2|6712"
"35"	"35"	"0.988888888888889"	"0.987341772151899"	"1"	"7.94682629569286"	"COL17A1|1308"	"DUSP4|1846"	"EPAS1|2034"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"RTN4|57142"	"SLC19A1|6573"
"36"	"36"	"1"	"1"	"1"	"7.33155774731744"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"LGR4|55366"	"LOC84740|84740"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"37"	"37"	"1"	"1"	"1"	"7.52462715585512"	"ADAM8|101"	"CASKIN2|57513"	"PYCR1|5831"	"SBDSP1|155370"	"SLC11A1|6556"	"SLC19A1|6573"	"SNX17|9784"	"SPTBN2|6712"
"38"	"38"	"0.977777777777778"	"0.974683544303797"	"1"	"8.55417569464962"	"ARL4A|10124"	"COL10A1|1300"	"EPAS1|2034"	"ITM2C|81618"	"MYL9|10398"	"PYCR1|5831"	"RALGPS2|55103"	"ST6GALNAC5|81849"
"39"	"39"	"1"	"1"	"1"	"6.81827898248067"	"EPAS1|2034"	"GPT2|84706"	"LTF|4057"	"PYCR1|5831"	"RAB1B|81876"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"40"	"40"	"0.988888888888889"	"1"	"0.909090909090909"	"8.72738888137926"	"CASKIN2|57513"	"FOLR2|2350"	"PNPLA6|10908"	"PYCR1|5831"	"RAB6A|5870"	"SPTBN2|6712"	"SYNJ2|8871"	"VSIG4|11326"
"41"	"41"	"1"	"1"	"1"	"7.10779263643541"	"CORO1C|23603"	"EPAS1|2034"	"ETV4|2118"	"FERMT1|55612"	"FOLR2|2350"	"LGR4|55366"	"RTKN2|219790"	"TOP2A|7153"
"42"	"42"	"1"	"1"	"1"	"7.4197099849208"	"ETV4|2118"	"IQGAP3|128239"	"LTF|4057"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"43"	"43"	"0.988888888888889"	"0.987341772151899"	"1"	"6.73525984985838"	"C13orf15|28984"	"FAM176A|84141"	"FERMT1|55612"	"HS6ST2|90161"	"OTUD1|220213"	"PAPLN|89932"	"PYCR1|5831"	"SLC19A1|6573"
"44"	"44"	"0.988888888888889"	"0.987341772151899"	"1"	"7.1231078578366"	"ADAM8|101"	"DGKA|1606"	"GAS2L1|10634"	"LGR4|55366"	"MIF4GD|57409"	"PYCR1|5831"	"RTKN2|219790"	"SGPL1|8879"
"45"	"45"	"0.988888888888889"	"0.987341772151899"	"1"	"7.69471966222785"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"PECAM1|5175"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"SUCLG1|8802"
"46"	"46"	"0.977777777777778"	"0.974683544303797"	"1"	"7.64674236331396"	"ADH1B|125"	"DHCR7|1717"	"EMP2|2013"	"FCGBP|8857"	"PLK1|5347"	"PNPLA6|10908"	"PYCR1|5831"	"SPTBN2|6712"
"47"	"47"	"0.977777777777778"	"1"	"0.818181818181818"	"7.86374483763604"	"CAT|847"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"
"48"	"48"	"1"	"1"	"1"	"7.46683409832767"	"CENPF|1063"	"EPAS1|2034"	"MACROD2|140733"	"MMP11|4320"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TUBA1B|10376"
"49"	"49"	"1"	"1"	"1"	"7.43207454399027"	"ACTB|60"	"ASPM|259266"	"COL12A1|1303"	"ETV4|2118"	"FUCA1|2517"	"MME|4311"	"MMP11|4320"	"RTKN2|219790"
"50"	"50"	"1"	"1"	"1"	"7.05059737676315"	"ASPM|259266"	"CASKIN2|57513"	"MACROD2|140733"	"PYCR1|5831"	"RTKN2|219790"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"51"	"51"	"1"	"1"	"1"	"7.30580661628578"	"C1orf198|84886"	"CYP51A1|1595"	"ENC1|8507"	"FAM174A|345757"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"52"	"52"	"1"	"1"	"1"	"7.40731332230125"	"ADAM8|101"	"ARPC2|10109"	"CASKIN2|57513"	"ITM2C|81618"	"LIMCH1|22998"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"53"	"53"	"0.988888888888889"	"0.987341772151899"	"1"	"7.42134561725532"	"IQGAP3|128239"	"MACROD2|140733"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SC4MOL|6307"	"SLC19A1|6573"	"TMPRSS4|56649"
"54"	"54"	"1"	"1"	"1"	"8.750156471794"	"ABCC5|10057"	"ADAM8|101"	"OTUD1|220213"	"PYCR1|5831"	"SLC11A1|6556"	"SLC19A1|6573"	"SPP1|6696"	"TINF2|26277"
"55"	"55"	"0.988888888888889"	"0.987341772151899"	"1"	"8.3655628402766"	"COL10A1|1300"	"EPB41L5|57669"	"ISLR|3671"	"JAK3|3718"	"PECAM1|5175"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"56"	"56"	"0.988888888888889"	"1"	"0.909090909090909"	"7.45873032207881"	"ADAM8|101"	"NPL|80896"	"OTUD1|220213"	"PYCR1|5831"	"SLC11A1|6556"	"SLC19A1|6573"	"SNX17|9784"	"SPP1|6696"
"57"	"57"	"1"	"1"	"1"	"7.54741386893952"	"LGR4|55366"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"	"SBDSP1|155370"	"TMPRSS4|56649"	"TRAF1|7185"	"TREM1|54210"
"58"	"58"	"1"	"1"	"1"	"7.729157321157"	"ABCC3|8714"	"CASKIN2|57513"	"EPN3|55040"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"TSPAN13|27075"	"TTYH3|80727"
"59"	"59"	"1"	"1"	"1"	"8.07895950884004"	"CA9|768"	"CLEC2D|29121"	"DOPEY2|9980"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"60"	"60"	"1"	"1"	"1"	"8.17674925158887"	"C13orf15|28984"	"COL10A1|1300"	"COL12A1|1303"	"PRELP|5549"	"PYCR1|5831"	"RASA3|22821"	"SLC19A1|6573"	"SNX17|9784"
"61"	"61"	"1"	"1"	"1"	"7.77665751517257"	"CASKIN2|57513"	"DGKA|1606"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"62"	"62"	"1"	"1"	"1"	"6.87211287887798"	"DGKA|1606"	"DLG5|9231"	"FOLR2|2350"	"MYO1C|4641"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SPTBN2|6712"
"63"	"63"	"1"	"1"	"1"	"8.33439992919827"	"ABHD5|51099"	"C1orf198|84886"	"COL10A1|1300"	"COL17A1|1308"	"MVD|4597"	"MYL9|10398"	"PDIK1L|149420"	"PYCR1|5831"
