"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"
"34"	"34"	"1"	"1"	"1"	"5.44522644920928"	"FERMT1|55612"	"HYAL2|8692"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"
"35"	"35"	"0.988888888888889"	"0.987341772151899"	"1"	"5.63250480960199"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"36"	"36"	"0.988888888888889"	"0.987341772151899"	"1"	"5.78766487213807"	"EPAS1|2034"	"FERMT1|55612"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"37"	"37"	"0.988888888888889"	"0.987341772151899"	"1"	"5.53330103122769"	"EPAS1|2034"	"LTF|4057"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"38"	"38"	"0.988888888888889"	"1"	"0.909090909090909"	"6.22861135377543"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"39"	"39"	"0.988888888888889"	"0.987341772151899"	"1"	"5.75926499283524"	"CXCL13|10563"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"40"	"40"	"0.988888888888889"	"0.987341772151899"	"1"	"5.82745332492672"	"EPAS1|2034"	"LOC84740|84740"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"41"	"41"	"0.977777777777778"	"0.974683544303797"	"1"	"5.72149036457842"	"DGKA|1606"	"KANK3|256949"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"
"42"	"42"	"0.977777777777778"	"0.974683544303797"	"1"	"6.44989481456456"	"COL10A1|1300"	"EPAS1|2034"	"MYL9|10398"	"PYCR1|5831"	"SLC19A1|6573"
"43"	"43"	"0.988888888888889"	"0.987341772151899"	"1"	"5.44147136696432"	"DGKA|1606"	"MYL9|10398"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"44"	"44"	"0.966666666666667"	"0.962025316455696"	"1"	"6.23278957123111"	"EPAS1|2034"	"INSIG1|3638"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"45"	"45"	"1"	"1"	"1"	"5.5814785240803"	"ABCC3|8714"	"FUT2|2524"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"
"46"	"46"	"0.977777777777778"	"0.974683544303797"	"1"	"5.44386531693858"	"C20orf27|54976"	"EPAS1|2034"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"
"47"	"47"	"1"	"1"	"1"	"6.0216853056649"	"ASPM|259266"	"ETV4|2118"	"MME|4311"	"MMP11|4320"	"RTKN2|219790"
"48"	"48"	"1"	"1"	"1"	"5.09524568429218"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"49"	"49"	"0.977777777777778"	"0.974683544303797"	"1"	"6.06581366609716"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"URB1|9875"
"50"	"50"	"0.988888888888889"	"0.987341772151899"	"1"	"5.4384548034749"	"PYCR1|5831"	"RTKN2|219790"	"SAR1A|56681"	"SGPL1|8879"	"SLC19A1|6573"
"51"	"51"	"0.988888888888889"	"0.987341772151899"	"1"	"5.34759403276344"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SGEF|26084"	"STRA13|201254"
"52"	"52"	"1"	"1"	"1"	"5.42804215230967"	"HYAL2|8692"	"MVD|4597"	"PYCR1|5831"	"RTKN2|219790"	"TMPRSS4|56649"
"53"	"53"	"0.988888888888889"	"0.987341772151899"	"1"	"5.94972896237328"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"URB1|9875"
"54"	"54"	"0.988888888888889"	"0.987341772151899"	"1"	"5.51605657417444"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"55"	"55"	"0.988888888888889"	"0.987341772151899"	"1"	"5.70359056294502"	"ADAM8|101"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"56"	"56"	"0.977777777777778"	"0.974683544303797"	"1"	"5.60491954223414"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"URB1|9875"
"57"	"57"	"1"	"1"	"1"	"5.56956958817951"	"C20orf27|54976"	"FERMT1|55612"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"
"58"	"58"	"0.988888888888889"	"0.987341772151899"	"1"	"6.44893502754857"	"EPAS1|2034"	"PYCR1|5831"	"RTKN2|219790"	"TOP2A|7153"	"TUBA1B|10376"
"59"	"59"	"0.988888888888889"	"0.987341772151899"	"1"	"5.92474332059875"	"ADAM8|101"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"60"	"60"	"0.988888888888889"	"0.987341772151899"	"1"	"5.58265161544439"	"EPAS1|2034"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"61"	"61"	"1"	"1"	"1"	"5.1427798454825"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"62"	"62"	"1"	"1"	"1"	"5.49227256269545"	"EPAS1|2034"	"LOC84740|84740"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"63"	"63"	"0.977777777777778"	"0.974683544303797"	"1"	"5.72311791130695"	"EPAS1|2034"	"INSIG1|3638"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"64"	"64"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"5.05180891072532"	"BMF|90427"	"C9orf140|89958"	"MACROD2|140733"	"PNPLA6|10908"	"RTKN2|219790"
"65"	"65"	"1"	"1"	"1"	"5.42276773790622"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
