"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"25"	"25"	"0.988888888888889"	"0.987341772151899"	"1"	"3.15371996037754"	"DCAF12|25853"	"EPCAM|4072"	"FXR2|9513"	"GCA|25801"	"GPIHBP1|338328"	"PARD6B|84612"	"SMU1|55234"	"TTPAL|79183"
"26"	"26"	"0.977777777777778"	"0.974683544303797"	"1"	"3.24844071723997"	"BTNL9|153579"	"CCDC21|64793"	"CTSE|1510"	"DHCR24|1718"	"OSCAR|126014"	"PSD4|23550"	"SEPT10|151011"	"TMEM159|57146"
"27"	"27"	"0.966666666666667"	"0.962025316455696"	"1"	"3.26334902140875"	"ATG16L1|55054"	"BPHL|670"	"CLASP2|23122"	"CTSE|1510"	"FMO2|2327"	"PSAT1|29968"	"SFRP4|6424"	"VHL|7428"
"28"	"28"	"0.988888888888889"	"0.987341772151899"	"1"	"2.96554203306683"	"EBP|10682"	"EPCAM|4072"	"GPIHBP1|338328"	"IFRD1|3475"	"PSAT1|29968"	"RUSC1|23623"	"TEP1|7011"	"UBE2I|7329"
"29"	"29"	"0.955555555555556"	"0.949367088607595"	"1"	"3.2941612916887"	"BTNL9|153579"	"CBLB|868"	"GATA2|2624"	"IFRD1|3475"	"LRRC20|55222"	"PSAT1|29968"	"TRIM25|7706"	"ZNF692|55657"
"30"	"30"	"0.988888888888889"	"0.987341772151899"	"1"	"3.14640700542037"	"CLIC5|53405"	"DOLPP1|57171"	"INPP5A|3632"	"MAGED1|9500"	"PDCL|5082"	"PGM1|5236"	"RABGGTA|5875"	"TSR2|90121"
"31"	"31"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"3.76873347648256"	"ADAMTSL2|9719"	"CTTN|2017"	"DAB2IP|153090"	"ECT2|1894"	"FCGR2B|2213"	"OSCAR|126014"	"RAB6A|5870"	"SIX4|51804"
"32"	"32"	"0.966666666666667"	"0.962025316455696"	"1"	"3.04831961423335"	"DCBLD1|285761"	"EPCAM|4072"	"GPIHBP1|338328"	"MCCC2|64087"	"NUDT9|53343"	"PARD6B|84612"	"PSAT1|29968"	"SIX4|51804"
"33"	"33"	"0.977777777777778"	"0.974683544303797"	"1"	"3.22974975313846"	"CBLB|868"	"EPCAM|4072"	"GPIHBP1|338328"	"PARD6B|84612"	"PSAT1|29968"	"RHOQ|23433"	"TMEM159|57146"	"WDR59|79726"
"34"	"34"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"2.93161563184014"	"ARL4C|10123"	"C1orf58|148362"	"COX18|285521"	"OSCAR|126014"	"RGS10|6001"	"SEPT10|151011"	"TMEM100|55273"	"TMEM51|55092"
"35"	"35"	"0.988888888888889"	"0.987341772151899"	"1"	"2.91660012219174"	"CASP3|836"	"CP|1356"	"JDP2|122953"	"LRRC20|55222"	"MRFAP1|93621"	"MUC21|394263"	"PTPLAD2|401494"	"TMEM100|55273"
"36"	"36"	"0.988888888888889"	"0.987341772151899"	"1"	"3.47643665775814"	"CCNL1|57018"	"LONP2|83752"	"LRRC36|55282"	"NCAPG|64151"	"NUDT9|53343"	"PGM1|5236"	"TMEM159|57146"	"ZNF692|55657"
"37"	"37"	"0.988888888888889"	"0.987341772151899"	"1"	"3.24861235441791"	"BTNL9|153579"	"FAM125B|89853"	"MERTK|10461"	"OSCAR|126014"	"PSAT1|29968"	"PSD4|23550"	"RAB6A|5870"	"SEPT10|151011"
"38"	"38"	"0.944444444444444"	"0.949367088607595"	"0.909090909090909"	"3.52481501652067"	"BTNL9|153579"	"CCDC120|90060"	"MAGED1|9500"	"PDCL|5082"	"PGM1|5236"	"STRBP|55342"	"TSR2|90121"	"TTC28|23331"
"39"	"39"	"0.977777777777778"	"0.974683544303797"	"1"	"2.94469370723892"	"CDC42BPA|8476"	"CLSTN3|9746"	"DHCR24|1718"	"GPIHBP1|338328"	"MRAS|22808"	"PSAT1|29968"	"PTMS|5763"	"UBE2I|7329"
"40"	"40"	"0.988888888888889"	"0.987341772151899"	"1"	"3.36048442053131"	"CLIC5|53405"	"CP|1356"	"ECM1|1893"	"FOXM1|2305"	"ITGA5|3678"	"PGM1|5236"	"PTMS|5763"	"SERPINH1|871"
"41"	"41"	"1"	"1"	"1"	"3.19815914308684"	"BTNL9|153579"	"C20orf108|116151"	"CBX4|8535"	"KRT15|3866"	"NCAPG|64151"	"PSD4|23550"	"PTMS|5763"	"TTC7A|57217"
"42"	"42"	"0.933333333333333"	"0.924050632911392"	"1"	"3.13544200651875"	"BAK1|578"	"CEBPG|1054"	"CLIC5|53405"	"DBNDD1|79007"	"GATA2|2624"	"HDHD3|81932"	"PVR|5817"	"ZNF146|7705"
"43"	"43"	"0.988888888888889"	"0.987341772151899"	"1"	"3.48433369657246"	"AP1G2|8906"	"BTNL9|153579"	"C6orf174|387104"	"EHBP1|23301"	"NUDT9|53343"	"PSAT1|29968"	"SLC35F5|80255"	"TINF2|26277"
"44"	"44"	"0.977777777777778"	"0.974683544303797"	"1"	"2.92551249188515"	"CXCR4|7852"	"GPIHBP1|338328"	"MFNG|4242"	"MYBL2|4605"	"RCAN1|1827"	"SEC23IP|11196"	"STAM|8027"	"TMEM92|162461"
"45"	"45"	"0.988888888888889"	"0.987341772151899"	"1"	"3.11277680860988"	"ADAM15|8751"	"CD276|80381"	"CTSB|1508"	"OSCAR|126014"	"PQLC1|80148"	"PYGB|5834"	"SEPT10|151011"	"WDR8|49856"
"46"	"46"	"0.966666666666667"	"0.962025316455696"	"1"	"3.32347749918949"	"ANO6|196527"	"CBLB|868"	"CLIC5|53405"	"CRYAB|1410"	"FGD6|55785"	"GATM|2628"	"PSAT1|29968"	"TRIM25|7706"
"47"	"47"	"0.977777777777778"	"0.974683544303797"	"1"	"3.42634058204664"	"CAPN12|147968"	"LONP2|83752"	"LRRC36|55282"	"PSAT1|29968"	"PVR|5817"	"RAB6A|5870"	"RUSC1|23623"	"SLC9A3R2|9351"
