"Accuracy"	"Sensitivity"	"Specificity"	"T2"
"1"	0.977777777777778	0.974683544303797	1	4.37170940564927
"2"	0.977777777777778	0.974683544303797	1	4.3589577099128
"3"	0.988888888888889	0.987341772151899	1	4.65557596829481
"4"	0.988888888888889	0.987341772151899	1	4.20894031317613
"5"	0.988888888888889	0.987341772151899	1	4.35375497996923
"6"	0.977777777777778	0.974683544303797	1	4.13825208262361
"7"	0.988888888888889	0.987341772151899	1	4.39042003202573
"8"	0.977777777777778	0.974683544303797	1	3.96401313407691
"9"	0.988888888888889	0.987341772151899	1	4.3425338720418
"10"	0.977777777777778	0.987341772151899	0.909090909090909	4.10268307223743
"11"	1	1	1	3.99287535293772
"12"	0.977777777777778	0.974683544303797	1	4.30868038274353
"13"	0.988888888888889	0.987341772151899	1	4.21292520875906
"14"	0.988888888888889	0.987341772151899	1	4.17199191796034
"15"	1	1	1	3.65343138305768
"16"	0.988888888888889	0.987341772151899	1	4.05807382407659
"17"	1	1	1	4.13027939080499
"18"	1	1	1	3.98777710518108
"19"	0.988888888888889	0.987341772151899	1	4.11903883180845
"20"	0.988888888888889	0.987341772151899	1	4.36548146674988
"21"	0.966666666666667	0.962025316455696	1	3.93749414775668
"22"	0.966666666666667	0.974683544303797	0.909090909090909	4.70789290398951
"23"	0.955555555555556	0.962025316455696	0.909090909090909	4.83330908414655
"24"	0.988888888888889	0.987341772151899	1	4.32650411660124
"25"	0.977777777777778	0.974683544303797	1	4.17773119484551
"26"	0.944444444444444	0.936708860759494	1	4.46473666313793
"27"	0.988888888888889	0.987341772151899	1	4.24839013552286
"28"	0.988888888888889	0.987341772151899	1	4.84736561340418
"29"	0.988888888888889	0.987341772151899	1	4.23182151224907
"30"	0.977777777777778	0.987341772151899	0.909090909090909	4.23039717647572
"31"	1	1	1	4.0948800466665
"32"	0.988888888888889	0.987341772151899	1	4.42896094930035
"33"	0.966666666666667	0.974683544303797	0.909090909090909	4.91594164350498
"34"	0.977777777777778	0.974683544303797	1	3.85269541416453
"35"	0.988888888888889	1	0.909090909090909	4.98485317518328
"36"	0.977777777777778	0.987341772151899	0.909090909090909	4.36360437619917
"37"	0.966666666666667	0.962025316455696	1	4.32780569061264
"38"	0.988888888888889	0.987341772151899	1	4.20857744431419
"39"	0.966666666666667	0.962025316455696	1	3.98081506397011
"40"	0.988888888888889	0.987341772151899	1	3.91107424213345
"41"	0.977777777777778	0.974683544303797	1	4.06317213648001
"42"	0.988888888888889	0.987341772151899	1	3.66707027113152
"43"	0.977777777777778	0.987341772151899	0.909090909090909	4.47249912983299
"44"	0.944444444444444	0.936708860759494	1	4.54813546671167
"45"	0.988888888888889	0.987341772151899	1	4.10367564427764
"46"	0.955555555555556	0.962025316455696	0.909090909090909	4.26637291807845
"47"	0.977777777777778	0.987341772151899	0.909090909090909	4.40654456727724
"48"	0.966666666666667	0.962025316455696	1	4.14758718905693
"49"	0.955555555555556	0.962025316455696	0.909090909090909	4.60439228950029
"50"	1	1	1	3.93026725197683
"51"	0.988888888888889	0.987341772151899	1	4.1832454155544
"52"	0.977777777777778	0.974683544303797	1	3.98450388940596
"53"	0.977777777777778	0.974683544303797	1	4.63499670332734
"54"	0.988888888888889	1	0.909090909090909	4.87986400229375
"55"	0.966666666666667	0.962025316455696	1	4.41747951667284
"56"	0.988888888888889	0.987341772151899	1	4.13537506022116
"57"	0.977777777777778	0.974683544303797	1	5.01298200483332
"58"	0.977777777777778	0.974683544303797	1	4.16331464636843
"59"	0.977777777777778	0.974683544303797	1	3.93403902547192
"60"	1	1	1	4.50299827045111
"61"	1	1	1	4.24559540025757
"62"	0.966666666666667	0.962025316455696	1	4.40990602039362
"63"	0.966666666666667	0.962025316455696	1	4.68077152247815
"64"	0.977777777777778	0.974683544303797	1	4.87228707186825
"65"	0.988888888888889	0.987341772151899	1	4.68517863499585
"66"	0.988888888888889	0.987341772151899	1	4.50077715566841
"67"	0.977777777777778	0.974683544303797	1	4.83222809804882
"68"	0.977777777777778	0.974683544303797	1	3.91054313775249
"69"	0.966666666666667	0.962025316455696	1	4.48262512974533
"70"	0.988888888888889	0.987341772151899	1	3.95195722372455
"71"	1	1	1	4.12450385493315
"72"	0.988888888888889	0.987341772151899	1	4.33773680892055
"73"	0.966666666666667	0.962025316455696	1	4.31039076570549
"74"	1	1	1	4.26846917366597
"75"	0.988888888888889	1	0.909090909090909	4.5286002824614
"76"	0.988888888888889	0.987341772151899	1	4.38159660417347
"77"	0.988888888888889	0.987341772151899	1	4.03624043631949
"78"	0.988888888888889	0.987341772151899	1	3.64583223176258
"79"	0.966666666666667	0.962025316455696	1	4.28604690967267
"80"	0.977777777777778	0.974683544303797	1	3.93696412656642
"81"	0.966666666666667	0.962025316455696	1	4.79223695323332
"82"	0.977777777777778	0.974683544303797	1	4.50806981462228
"83"	0.977777777777778	0.974683544303797	1	4.15793101333582
"84"	0.988888888888889	0.987341772151899	1	4.43040830423377
"85"	0.977777777777778	0.987341772151899	0.909090909090909	4.19718687563631
"86"	0.988888888888889	0.987341772151899	1	4.03941665218128
"87"	1	1	1	3.98331987405058
"88"	0.966666666666667	0.962025316455696	1	4.18381830007803
"89"	0.988888888888889	1	0.909090909090909	4.05040992337574
"90"	1	1	1	4.95710227392329
"91"	0.977777777777778	0.987341772151899	0.909090909090909	4.42361094896353
"92"	0.977777777777778	0.974683544303797	1	4.38595359261033
"93"	0.988888888888889	0.987341772151899	1	4.37587702887385
"94"	0.977777777777778	0.987341772151899	0.909090909090909	4.60638681603454
"95"	0.977777777777778	0.987341772151899	0.909090909090909	4.33998498144997
"96"	0.977777777777778	0.987341772151899	0.909090909090909	4.61325859000488
"97"	0.977777777777778	0.974683544303797	1	3.75325078016596
"98"	0.977777777777778	0.987341772151899	0.909090909090909	4.56132260702301
"99"	0.988888888888889	0.987341772151899	1	4.02686216316833
"100"	1	1	1	4.13347326631623
"101"	0.988888888888889	0.987341772151899	1	4.70174053251188
"102"	0.955555555555556	0.949367088607595	1	4.31000663310448
"103"	1	1	1	3.94231664245585
"104"	0.977777777777778	0.974683544303797	1	3.90143867724234
"105"	0.933333333333333	0.936708860759494	0.909090909090909	5.30059065662612
"106"	0.988888888888889	0.987341772151899	1	4.20879896567243
"107"	0.977777777777778	0.974683544303797	1	4.35222925500965
"108"	0.988888888888889	1	0.909090909090909	4.03194570464969
"109"	0.966666666666667	0.962025316455696	1	5.05757683290555
"110"	0.977777777777778	0.987341772151899	0.909090909090909	3.75911143106873
"111"	1	1	1	4.28073487070927
"112"	0.988888888888889	0.987341772151899	1	4.72283326814101
"113"	0.977777777777778	0.987341772151899	0.909090909090909	4.52323429704253
"114"	1	1	1	3.78989590951544
"115"	0.977777777777778	0.974683544303797	1	4.10586997217046
"116"	0.988888888888889	0.987341772151899	1	4.41972642769654
"117"	1	1	1	3.94449717288989
"118"	1	1	1	3.89496114692407
"119"	1	1	1	4.47167958804622
"120"	1	1	1	4.21398069927042
"121"	1	1	1	4.14145900210651
"122"	0.977777777777778	0.974683544303797	1	5.34660470978782
"123"	0.988888888888889	0.987341772151899	1	4.38136137331348
"124"	1	1	1	4.2835927045213
"125"	1	1	1	4.76278385105932
"126"	0.977777777777778	0.987341772151899	0.909090909090909	4.21173797402365
"127"	0.988888888888889	1	0.909090909090909	4.20642460778897
"128"	0.977777777777778	0.974683544303797	1	4.29036157275151
"129"	0.988888888888889	0.987341772151899	1	3.94871295366615
"130"	0.966666666666667	0.974683544303797	0.909090909090909	4.57098458521553
