"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"
"22"	"22"	"1"	"1"	"1"	"9.01933592416358"	"ADAM8|101"	"ADH1B|125"	"GPM6A|2823"	"OTUD1|220213"	"PRELP|5549"	"PYCR1|5831"	"SLC11A1|6556"	"SLC19A1|6573"	"SNX17|9784"	"SPP1|6696"
"23"	"23"	"1"	"1"	"1"	"8.9578988295199"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"DHCR7|1717"	"GPM6A|2823"	"LGR4|55366"	"MMP1|4312"	"MYL6|4637"	"PYCR1|5831"	"RCC1|1104"
"24"	"24"	"0.988888888888889"	"1"	"0.909090909090909"	"9.97921902111699"	"ADAM8|101"	"ATP13A1|57130"	"CASKIN2|57513"	"CCL18|6362"	"DLG5|9231"	"FCGBP|8857"	"PNPLA6|10908"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"25"	"25"	"0.977777777777778"	"0.974683544303797"	"1"	"9.60729396942707"	"AKIRIN2|55122"	"COL10A1|1300"	"CSK|1445"	"CTHRC1|115908"	"GPM6A|2823"	"MYL9|10398"	"NFYB|4801"	"NTM|50863"	"PNPLA6|10908"	"SFTPC|6440"
"26"	"26"	"0.988888888888889"	"0.987341772151899"	"1"	"8.73467629474078"	"CHIT1|1118"	"DLG5|9231"	"MME|4311"	"PYCR1|5831"	"RRP1B|23076"	"SAR1A|56681"	"SIDT2|51092"	"SLC19A1|6573"	"SLC6A4|6532"	"TMPRSS4|56649"
"27"	"27"	"1"	"1"	"1"	"8.36312064566043"	"CYP51A1|1595"	"EPB41L5|57669"	"ETV4|2118"	"GPM6A|2823"	"LGR4|55366"	"PYCR1|5831"	"RAB1B|81876"	"SLC19A1|6573"	"SPTBN2|6712"	"TNFAIP1|7126"
"28"	"28"	"1"	"1"	"1"	"8.65016429885238"	"ABCC3|8714"	"GART|2618"	"GPM6A|2823"	"LTF|4057"	"PYCR1|5831"	"SAR1A|56681"	"SC4MOL|6307"	"SLC19A1|6573"	"TMC6|11322"	"TMPRSS4|56649"
"29"	"29"	"1"	"1"	"1"	"8.06018176554868"	"CASKIN2|57513"	"FABP4|2167"	"LTF|4057"	"PYCR1|5831"	"RCC1|1104"	"SLC19A1|6573"	"SPTBN2|6712"	"STARD7|56910"	"TMEM131|23505"	"TP53INP2|58476"
"30"	"30"	"0.988888888888889"	"1"	"0.909090909090909"	"9.09279640881121"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"GGT5|2687"	"LGR4|55366"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SPTBN2|6712"	"TSPAN13|27075"
"31"	"31"	"1"	"1"	"1"	"8.14843250686213"	"ADAM8|101"	"CASKIN2|57513"	"COL17A1|1308"	"CYP51A1|1595"	"GPM6A|2823"	"MYL6|4637"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"TM2D2|83877"
"32"	"32"	"1"	"1"	"1"	"8.41658156875418"	"C7|730"	"COL17A1|1308"	"EPAS1|2034"	"FABP4|2167"	"FIGF|2277"	"GPM6A|2823"	"PYCR1|5831"	"SFXN1|94081"	"SLC19A1|6573"	"SPTBN2|6712"
"33"	"33"	"0.988888888888889"	"1"	"0.909090909090909"	"9.24538497220722"	"FARP1|10160"	"LGR4|55366"	"PYCR1|5831"	"RAB6A|5870"	"SC4MOL|6307"	"SLC6A4|6532"	"SPNS1|83985"	"SPTBN2|6712"	"SYNGR2|9144"	"TMPRSS4|56649"
"34"	"34"	"1"	"1"	"1"	"8.71409617487544"	"ADAM8|101"	"ALOX5AP|241"	"CASKIN2|57513"	"COL17A1|1308"	"MDK|4192"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"
"35"	"35"	"1"	"1"	"1"	"8.30007685244632"	"CASKIN2|57513"	"ETV4|2118"	"LTF|4057"	"MYO9B|4650"	"OTUD1|220213"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"36"	"36"	"0.988888888888889"	"1"	"0.909090909090909"	"9.02622536572762"	"ADAM8|101"	"CASKIN2|57513"	"DARC|2532"	"FABP4|2167"	"LGR4|55366"	"OTUD1|220213"	"PYCR1|5831"	"SBDS|51119"	"SLC19A1|6573"	"SPTBN2|6712"
"37"	"37"	"1"	"1"	"1"	"9.74601737567487"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"LGR4|55366"	"LMO7|4008"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"SPTBN2|6712"	"WISP2|8839"
"38"	"38"	"0.988888888888889"	"0.987341772151899"	"1"	"8.10843029231897"	"ADAM8|101"	"CRIP1|1396"	"EPB41L5|57669"	"LGR4|55366"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"TNFAIP1|7126"
"39"	"39"	"0.988888888888889"	"0.987341772151899"	"1"	"8.4755471797922"	"ABCC3|8714"	"C1orf43|25912"	"CASKIN2|57513"	"EMP2|2013"	"PYCR1|5831"	"RDX|5962"	"RNF149|284996"	"RRP1B|23076"	"SLC19A1|6573"	"TMPRSS4|56649"
"40"	"40"	"1"	"1"	"1"	"9.25463156832664"	"DHCR7|1717"	"EPAS1|2034"	"GPM6A|2823"	"KPNA2|3838"	"LTF|4057"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"
"41"	"41"	"1"	"1"	"1"	"7.62772055414109"	"ANKS1A|23294"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"42"	"42"	"0.988888888888889"	"0.987341772151899"	"1"	"9.06502841936979"	"GPD1|2819"	"GPM6A|2823"	"HYAL2|8692"	"LGR4|55366"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"RAB6A|5870"	"SLC19A1|6573"	"TC2N|123036"
"43"	"43"	"0.988888888888889"	"0.987341772151899"	"1"	"9.71103989436981"	"CYP51A1|1595"	"GPM6A|2823"	"LGR4|55366"	"LOC84740|84740"	"LTF|4057"	"MYL6|4637"	"OTUD1|220213"	"PYCR1|5831"	"SEMA3G|56920"	"SLC19A1|6573"
"44"	"44"	"1"	"1"	"1"	"9.1304368138659"	"C1orf198|84886"	"CREBZF|58487"	"HS6ST2|90161"	"LGR4|55366"	"PYCR1|5831"	"RDX|5962"	"RRP1B|23076"	"SLC19A1|6573"	"SLC6A4|6532"	"TMPRSS4|56649"
"45"	"45"	"1"	"1"	"1"	"8.23610273974856"	"ANKS1A|23294"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"LAMA2|3908"	"MYL6|4637"	"PYCR1|5831"	"RNF149|284996"	"SPTBN2|6712"	"WFS1|7466"
"46"	"46"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"9.46714602778226"	"ABHD5|51099"	"CASKIN2|57513"	"COL17A1|1308"	"GPM6A|2823"	"LOC84740|84740"	"MYO1C|4641"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"47"	"47"	"1"	"1"	"1"	"9.43869255013741"	"EPAS1|2034"	"GPM6A|2823"	"LGR4|55366"	"LTF|4057"	"MGAT3|4248"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"STX3|6809"	"TGFBR3|7049"
"48"	"48"	"0.988888888888889"	"0.987341772151899"	"1"	"9.2398873266217"	"CYP51A1|1595"	"EPAS1|2034"	"ETV4|2118"	"FKBP11|51303"	"LGR4|55366"	"LLGL2|3993"	"PYCR1|5831"	"RCC1|1104"	"SLC19A1|6573"	"SPTBN2|6712"
"49"	"49"	"1"	"1"	"1"	"8.13945547202805"	"COL17A1|1308"	"CYP51A1|1595"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"SLC26A2|1836"	"SLC6A4|6532"	"SPP1|6696"	"TNS3|64759"
"50"	"50"	"1"	"1"	"1"	"7.495249059503"	"EIF2S2|8894"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"SRPK1|6732"	"TNFAIP1|7126"	"VPS24|51652"
"51"	"51"	"1"	"1"	"1"	"8.84191533529024"	"ABCC5|10057"	"CBFB|865"	"FABP4|2167"	"GPM6A|2823"	"KCNN4|3783"	"MACROD2|140733"	"PTPRU|10076"	"PYCR1|5831"	"SLC19A1|6573"	"TSPAN13|27075"
"52"	"52"	"0.988888888888889"	"0.987341772151899"	"1"	"10.0173607287694"	"CASKIN2|57513"	"COL17A1|1308"	"EMP2|2013"	"GPD1|2819"	"MYL6|4637"	"NCKAP5|344148"	"PYCR1|5831"	"RDX|5962"	"SLC19A1|6573"	"TMPRSS4|56649"
"53"	"53"	"1"	"1"	"1"	"9.53659022971565"	"ABCC3|8714"	"ANKS1A|23294"	"CASKIN2|57513"	"IDI1|3422"	"MYL6|4637"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SRPK1|6732"	"XPO4|64328"
"54"	"54"	"1"	"1"	"1"	"8.21406830455036"	"COL17A1|1308"	"GGT5|2687"	"GPM6A|2823"	"MPEG1|219972"	"NFYB|4801"	"PNPLA6|10908"	"PYCR1|5831"	"SAR1A|56681"	"SFXN1|94081"	"STX11|8676"
"55"	"55"	"1"	"1"	"1"	"8.68776972993425"	"C19orf59|199675"	"CASKIN2|57513"	"DLG5|9231"	"FIGF|2277"	"GPM6A|2823"	"IFIT5|24138"	"LTF|4057"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"56"	"56"	"1"	"1"	"1"	"8.79525265535074"	"CASKIN2|57513"	"COL17A1|1308"	"GPM6A|2823"	"HMGB3|3149"	"MYL6|4637"	"PYCR1|5831"	"SCD|6319"	"SLC19A1|6573"	"SPP1|6696"	"TREM1|54210"
"57"	"57"	"1"	"1"	"1"	"8.71748500916704"	"ABCC3|8714"	"ANKS1A|23294"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"MYL6|4637"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"
"58"	"58"	"1"	"1"	"1"	"8.99681116720303"	"ACAT1|38"	"AMY1A|276"	"CASKIN2|57513"	"GPM6A|2823"	"LGR4|55366"	"MYL6|4637"	"PTPN12|5782"	"PYCR1|5831"	"SLC19A1|6573"	"TSPAN13|27075"
"59"	"59"	"1"	"1"	"1"	"8.8320157932113"	"CASKIN2|57513"	"CYP51A1|1595"	"LGR4|55366"	"LIMCH1|22998"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"UBE4A|9354"	"XPO4|64328"
"60"	"60"	"1"	"1"	"1"	"9.73641010976539"	"ABCC3|8714"	"ADAM8|101"	"GPM6A|2823"	"GPNMB|10457"	"OTUD1|220213"	"PYCR1|5831"	"SBDS|51119"	"SLC11A1|6556"	"SLC19A1|6573"	"TMC6|11322"
"61"	"61"	"0.988888888888889"	"0.987341772151899"	"1"	"8.98516597040712"	"COL10A1|1300"	"FAM102A|399665"	"KCTD10|83892"	"NCKAP5|344148"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPARC|6678"	"TSPAN13|27075"	"WISP2|8839"
"62"	"62"	"0.988888888888889"	"0.987341772151899"	"1"	"8.69944058079223"	"CDC42SE2|56990"	"COL17A1|1308"	"GPD1|2819"	"GPM6A|2823"	"IDI1|3422"	"LTF|4057"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"	"USP48|84196"
"63"	"63"	"0.988888888888889"	"1"	"0.909090909090909"	"9.39148688247959"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"PYCR1|5831"	"RNF149|284996"	"SAR1A|56681"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"	"WNT7B|7477"
"64"	"64"	"0.988888888888889"	"0.987341772151899"	"1"	"8.44905814003776"	"COL17A1|1308"	"DOPEY2|9980"	"EMP2|2013"	"HMGB3|3149"	"MMP7|4316"	"NCKAP5|344148"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SLC6A4|6532"
"65"	"65"	"1"	"1"	"1"	"9.28344501628766"	"CASKIN2|57513"	"COL17A1|1308"	"LTF|4057"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"RTN4|57142"	"SLC19A1|6573"	"SPTBN2|6712"	"TOP2A|7153"
"66"	"66"	"0.988888888888889"	"1"	"0.909090909090909"	"8.84201920092515"	"CYP51A1|1595"	"FCGR3A|2214"	"GPM6A|2823"	"MPEG1|219972"	"OTUD1|220213"	"PROM2|150696"	"PYCR1|5831"	"SLC11A1|6556"	"SLC19A1|6573"	"SPP1|6696"
"67"	"67"	"0.988888888888889"	"0.987341772151899"	"1"	"11.182200352087"	"ANKS1A|23294"	"COL17A1|1308"	"KCNN4|3783"	"MYL6|4637"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"RNF149|284996"	"SC4MOL|6307"	"SLC19A1|6573"	"SRPK1|6732"
"68"	"68"	"1"	"1"	"1"	"7.7432599367713"	"ADAM8|101"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"RCC1|1104"	"RDX|5962"	"SLC19A1|6573"	"SLC39A1|27173"	"SLC6A4|6532"	"ZHX3|23051"
"69"	"69"	"1"	"1"	"1"	"8.69637935323626"	"ABCC3|8714"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"GGT5|2687"	"PYCR1|5831"	"RTN4|57142"	"S100A10|6281"	"SLC19A1|6573"	"TOP2A|7153"
"70"	"70"	"1"	"1"	"1"	"8.09802556487361"	"ABHD5|51099"	"ADAM8|101"	"CAMKK2|10645"	"DOPEY2|9980"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SLC39A1|27173"	"SLC6A4|6532"	"SRPK1|6732"
"71"	"71"	"1"	"1"	"1"	"8.32665223774064"	"CHRDL1|91851"	"CYP51A1|1595"	"EPB41L5|57669"	"GPM6A|2823"	"HYAL2|8692"	"LGR4|55366"	"OCIAD2|132299"	"PYCR1|5831"	"RNF149|284996"	"TSPAN13|27075"
"72"	"72"	"1"	"1"	"1"	"8.27297090600824"	"C11orf59|55004"	"EPAS1|2034"	"GPM6A|2823"	"IDI1|3422"	"LGR4|55366"	"MACROD2|140733"	"PYCR1|5831"	"SLC19A1|6573"	"TOR3A|64222"	"TSPAN13|27075"
"73"	"73"	"0.988888888888889"	"0.987341772151899"	"1"	"9.71936726390441"	"C11orf59|55004"	"EPAS1|2034"	"GPM6A|2823"	"LGR4|55366"	"LTF|4057"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"TIMP1|7076"
"74"	"74"	"1"	"1"	"1"	"8.53121244638604"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"GGT5|2687"	"MYL6|4637"	"PYCR1|5831"	"RCC1|1104"	"SBDS|51119"	"SLC19A1|6573"	"STARD7|56910"
"75"	"75"	"0.988888888888889"	"0.987341772151899"	"1"	"9.08451692942111"	"ANKS1A|23294"	"COL17A1|1308"	"GPM6A|2823"	"MYL6|4637"	"NCKAP5|344148"	"PYCR1|5831"	"RNF149|284996"	"SC4MOL|6307"	"SLC19A1|6573"	"SRPK1|6732"
"76"	"76"	"1"	"1"	"1"	"8.78832886893461"	"CASKIN2|57513"	"CHCHD2|51142"	"COL17A1|1308"	"CYP51A1|1595"	"ETV4|2118"	"LGR4|55366"	"PYCR1|5831"	"RBMS2|5939"	"SPTBN2|6712"	"TREM1|54210"
"77"	"77"	"1"	"1"	"1"	"9.04025161691363"	"ABCC3|8714"	"ANKS1A|23294"	"COL17A1|1308"	"MYL6|4637"	"PYCR1|5831"	"RNF149|284996"	"SC4MOL|6307"	"SLC19A1|6573"	"SLC6A4|6532"	"SRPK1|6732"
"78"	"78"	"1"	"1"	"1"	"8.07261071824322"	"ABCC3|8714"	"ADAM8|101"	"C1orf198|84886"	"C7|730"	"CYTH1|9267"	"FABP4|2167"	"HYAL2|8692"	"PYCR1|5831"	"SLC19A1|6573"	"SOX4|6659"
"79"	"79"	"1"	"1"	"1"	"8.21968499781406"	"ABCC5|10057"	"C19orf59|199675"	"CCL18|6362"	"COL17A1|1308"	"DMXL1|1657"	"GPM6A|2823"	"OTUD1|220213"	"PVR|5817"	"PYCR1|5831"	"SLC19A1|6573"
"80"	"80"	"0.988888888888889"	"0.987341772151899"	"1"	"9.44432941067993"	"BCL2L2|599"	"EPAS1|2034"	"GPM6A|2823"	"KPNA3|3839"	"LGR4|55366"	"LTF|4057"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"SRPK1|6732"
"81"	"81"	"0.988888888888889"	"0.987341772151899"	"1"	"8.61548940113141"	"ABCC3|8714"	"FUCA1|2517"	"LMO7|4008"	"PPAP2C|8612"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"SLC6A4|6532"	"TEP1|7011"	"TSPAN13|27075"
"82"	"82"	"1"	"1"	"1"	"8.75335168207318"	"ADAM8|101"	"ADH1B|125"	"COL17A1|1308"	"FABP4|2167"	"JDP2|122953"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN1|6711"	"TOP2A|7153"
"83"	"83"	"1"	"1"	"1"	"9.04554105130857"	"ABCC3|8714"	"CASKIN2|57513"	"DLG5|9231"	"FABP4|2167"	"GPM6A|2823"	"LTF|4057"	"PYCR1|5831"	"RORC|6097"	"SAR1A|56681"	"SLC19A1|6573"
"84"	"84"	"1"	"1"	"1"	"9.02437548016384"	"ABCC3|8714"	"ADAM8|101"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"PYCR1|5831"	"RNF149|284996"	"SBDS|51119"	"SLC19A1|6573"	"SPTBN2|6712"
"85"	"85"	"0.988888888888889"	"0.987341772151899"	"1"	"8.82570408446188"	"CYP51A1|1595"	"CYTH1|9267"	"EPAS1|2034"	"GPM6A|2823"	"LGR4|55366"	"LTF|4057"	"MYL6|4637"	"PYCR1|5831"	"RAB6A|5870"	"SLC19A1|6573"
"86"	"86"	"0.988888888888889"	"0.987341772151899"	"1"	"9.11050547176075"	"GPM6A|2823"	"LOC84740|84740"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"RHBDD2|57414"	"SCD|6319"	"SEMA3G|56920"	"SLC19A1|6573"	"SPTBN2|6712"
"87"	"87"	"1"	"1"	"1"	"8.40443575542428"	"ABCC3|8714"	"CA4|762"	"FABP4|2167"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"RCC1|1104"	"RNF149|284996"	"SLC19A1|6573"	"TSPAN13|27075"
"88"	"88"	"0.977777777777778"	"0.974683544303797"	"1"	"10.1421613257931"	"EMP2|2013"	"FUCA1|2517"	"GART|2618"	"GPD1|2819"	"NCKAP5|344148"	"PYCR1|5831"	"RDX|5962"	"SLC19A1|6573"	"SNX17|9784"	"TMPRSS4|56649"
"89"	"89"	"1"	"1"	"1"	"8.5176907179656"	"ANKS1A|23294"	"BAT2|7916"	"C7|730"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SPTBN2|6712"
"90"	"90"	"1"	"1"	"1"	"9.35871775091298"	"ABCC3|8714"	"EPAS1|2034"	"FDPS|2224"	"GPM6A|2823"	"KCTD2|23510"	"PARP1|142"	"PYCR1|5831"	"SFTPC|6440"	"SLC11A1|6556"	"SLC19A1|6573"
"91"	"91"	"0.988888888888889"	"1"	"0.909090909090909"	"9.66789994857724"	"CASKIN2|57513"	"FABP4|2167"	"LAMA2|3908"	"LGR4|55366"	"LMO7|4008"	"PAK1|5058"	"PYCR1|5831"	"RAB6A|5870"	"SPTBN2|6712"	"STARD3NL|83930"
"92"	"92"	"1"	"1"	"1"	"8.64883081171423"	"ADAM8|101"	"CASKIN2|57513"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC11A1|6556"	"SLC19A1|6573"	"SNX17|9784"	"SPP1|6696"	"SPTBN2|6712"
"93"	"93"	"1"	"1"	"1"	"8.71933496989437"	"CREBZF|58487"	"LGR4|55366"	"LRRC16A|55604"	"NFYB|4801"	"PYCR1|5831"	"RBMS2|5939"	"RDX|5962"	"RRP1B|23076"	"SLC19A1|6573"	"SLC6A4|6532"
"94"	"94"	"0.988888888888889"	"1"	"0.909090909090909"	"9.21847022408824"	"CASKIN2|57513"	"COL17A1|1308"	"FABP4|2167"	"LAMA2|3908"	"MYL6|4637"	"PCYOX1|51449"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TNS3|64759"
