"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"
"39"	"39"	"1"	"1"	"1"	"5.25759342882744"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"40"	"40"	"1"	"1"	"1"	"4.75425063644069"	"ASPM|259266"	"ETV4|2118"	"NPL|80896"	"RTKN2|219790"
"41"	"41"	"1"	"1"	"1"	"5.0139914879301"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SPTBN2|6712"
"42"	"42"	"1"	"1"	"1"	"5.00815296741711"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SYNJ2|8871"
"43"	"43"	"0.977777777777778"	"0.974683544303797"	"1"	"5.2465488766456"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"44"	"44"	"1"	"1"	"1"	"4.7076909032264"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"45"	"45"	"1"	"1"	"1"	"4.98799766402756"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"46"	"46"	"0.988888888888889"	"0.987341772151899"	"1"	"5.07264809076683"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"47"	"47"	"0.988888888888889"	"0.987341772151899"	"1"	"5.02703506187728"	"HYAL2|8692"	"PYCR1|5831"	"RALGPS2|55103"	"RTKN2|219790"
"48"	"48"	"0.988888888888889"	"0.987341772151899"	"1"	"4.65839223370303"	"DGKA|1606"	"EPAS1|2034"	"IDE|3416"	"PYCR1|5831"
"49"	"49"	"0.977777777777778"	"0.974683544303797"	"1"	"5.14176764833712"	"CENPF|1063"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"50"	"50"	"0.988888888888889"	"0.987341772151899"	"1"	"4.90878417515996"	"IQGAP3|128239"	"PNPLA6|10908"	"RTKN2|219790"	"TMPRSS4|56649"
"51"	"51"	"1"	"1"	"1"	"5.71960298178005"	"CENPF|1063"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"52"	"52"	"1"	"1"	"1"	"4.778061078413"	"FUT2|2524"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"
"53"	"53"	"1"	"1"	"1"	"4.65226759540182"	"DGKA|1606"	"KANK3|256949"	"PYCR1|5831"	"RTKN2|219790"
"54"	"54"	"1"	"1"	"1"	"4.67963207953588"	"GGT5|2687"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"55"	"55"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"5.48692771374896"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"56"	"56"	"1"	"1"	"1"	"4.61272609699411"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"57"	"57"	"1"	"1"	"1"	"4.91806251094036"	"FUT2|2524"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"
"58"	"58"	"1"	"1"	"1"	"4.69555827161757"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"59"	"59"	"0.977777777777778"	"0.974683544303797"	"1"	"4.93303455517558"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"60"	"60"	"1"	"1"	"1"	"4.68614838180117"	"C13orf15|28984"	"PAPLN|89932"	"PYCR1|5831"	"SLC19A1|6573"
"61"	"61"	"0.988888888888889"	"1"	"0.909090909090909"	"4.9811916202889"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"62"	"62"	"1"	"1"	"1"	"4.62236407212831"	"GGT5|2687"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"63"	"63"	"0.988888888888889"	"0.987341772151899"	"1"	"4.82747832538112"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"	"TMPRSS4|56649"
"64"	"64"	"0.988888888888889"	"1"	"0.909090909090909"	"4.98718465398888"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"65"	"65"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"5.28389132243643"	"CORO1C|23603"	"FOLR2|2350"	"RTKN2|219790"	"TOP2A|7153"
"66"	"66"	"0.988888888888889"	"0.987341772151899"	"1"	"5.09352356125596"	"EPAS1|2034"	"KIF26B|55083"	"LGR4|55366"	"PYCR1|5831"
"67"	"67"	"1"	"1"	"1"	"4.53412038167992"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"68"	"68"	"0.988888888888889"	"0.987341772151899"	"1"	"5.24425511239025"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"69"	"69"	"0.988888888888889"	"0.987341772151899"	"1"	"5.23343193238468"	"RTKN2|219790"	"RTN4|57142"	"TMPRSS4|56649"	"TOP2A|7153"
"70"	"70"	"1"	"1"	"1"	"4.51871232086272"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"71"	"71"	"1"	"1"	"1"	"5.15808896239794"	"ASPM|259266"	"ETV4|2118"	"RTKN2|219790"	"TMPRSS4|56649"
"72"	"72"	"0.988888888888889"	"0.987341772151899"	"1"	"4.83805573329001"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"73"	"73"	"0.988888888888889"	"0.987341772151899"	"1"	"4.92227301965383"	"CLEC2D|29121"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"74"	"74"	"1"	"1"	"1"	"5.13370716692637"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"75"	"75"	"0.988888888888889"	"0.987341772151899"	"1"	"5.24678461869433"	"COL10A1|1300"	"EPAS1|2034"	"MYL9|10398"	"PYCR1|5831"
"76"	"76"	"1"	"1"	"1"	"4.69079717502163"	"ASPM|259266"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"77"	"77"	"0.988888888888889"	"0.987341772151899"	"1"	"5.03035959165409"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"78"	"78"	"0.988888888888889"	"0.987341772151899"	"1"	"4.90527106846942"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"79"	"79"	"0.988888888888889"	"0.987341772151899"	"1"	"4.92678964529811"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"80"	"80"	"1"	"1"	"1"	"4.66927530677478"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"81"	"81"	"0.988888888888889"	"0.987341772151899"	"1"	"5.43409062705315"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"82"	"82"	"0.977777777777778"	"0.974683544303797"	"1"	"4.84307920157776"	"COL10A1|1300"	"CORO1C|23603"	"RTKN2|219790"	"TOP2A|7153"
"83"	"83"	"1"	"1"	"1"	"4.76012696766931"	"GGT5|2687"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"84"	"84"	"0.988888888888889"	"0.987341772151899"	"1"	"5.10072026327"	"ETV4|2118"	"FUT2|2524"	"RTKN2|219790"	"TOP2A|7153"
"85"	"85"	"1"	"1"	"1"	"4.7143377452188"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SYNJ2|8871"
"86"	"86"	"1"	"1"	"1"	"4.90716069090565"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"87"	"87"	"0.988888888888889"	"0.987341772151899"	"1"	"5.39476572063204"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"88"	"88"	"0.977777777777778"	"0.974683544303797"	"1"	"5.04379310016594"	"PYCR1|5831"	"RALGPS2|55103"	"RTKN2|219790"	"SLC19A1|6573"
"89"	"89"	"0.988888888888889"	"1"	"0.909090909090909"	"4.7363755553527"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"90"	"90"	"0.988888888888889"	"1"	"0.909090909090909"	"4.78934483248692"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"91"	"91"	"0.988888888888889"	"0.987341772151899"	"1"	"4.59284424753204"	"ETV4|2118"	"FUT2|2524"	"RTKN2|219790"	"TOP2A|7153"
"92"	"92"	"1"	"1"	"1"	"4.71937826250688"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"93"	"93"	"1"	"1"	"1"	"4.51233450691144"	"DGKA|1606"	"KANK3|256949"	"PYCR1|5831"	"RTKN2|219790"
"94"	"94"	"0.988888888888889"	"0.987341772151899"	"1"	"4.53227636187288"	"ETV4|2118"	"FUT2|2524"	"RTKN2|219790"	"TOP2A|7153"
"95"	"95"	"1"	"1"	"1"	"4.82241380946782"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"96"	"96"	"0.988888888888889"	"0.987341772151899"	"1"	"5.48168741831835"	"FERMT1|55612"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"97"	"97"	"0.988888888888889"	"0.987341772151899"	"1"	"5.13536607755476"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"98"	"98"	"1"	"1"	"1"	"4.70491502150318"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"99"	"99"	"1"	"1"	"1"	"5.08446019792853"	"ABHD5|51099"	"COL10A1|1300"	"LIMS2|55679"	"PYCR1|5831"
"100"	"100"	"0.977777777777778"	"0.974683544303797"	"1"	"5.35330134931423"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
