"Index"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"126"	"126"	"3.18858767775105"	"GFPT1|2673"	"LIFR|3977"	"PARP1|142"	"PTPN11|5781"	"NAA25|80018"	"FGFR4|2264"	"CLDN2|9075"	"RNF41|10193"
"127"	"127"	"2.71872233805226"	"GGCT|79017"	"HM13|81502"	"ECT2|1894"	"EIF2S2|8894"	"SNAP47|116841"	"GATA2|2624"	"HBA1|3039"	"AHDC1|27245"
"128"	"128"	"2.73191874422438"	"EMCN|51705"	"IARS2|55699"	"PDZD2|23037"	"EPHA4|2043"	"HDHD3|81932"	"FBP1|2203"	"SEPT6|23157"	"DAP|1611"
"129"	"129"	"2.52340123839789"	"THBD|7056"	"GALNT2|2590"	"KRT15|3866"	"GRN|2896"	"ARL4C|10123"	"GJA1|2697"	"C1orf85|112770"	"PPPDE1|51029"
"130"	"130"	"2.92078758074811"	"SNRK|54861"	"MYBL2|4605"	"KIAA0430|9665"	"TRA2B|6434"	"TTC28|23331"	"C5orf13|9315"	"CARHSP1|23589"	"GNL3|26354"
"131"	"131"	"2.76493608389985"	"STARD8|9754"	"AVL9|23080"	"KCNE4|23704"	"RAB6A|5870"	"C7orf41|222166"	"SLC37A4|2542"	"SP3|6670"	"PRDM1|639"
"132"	"132"	"2.65310664306695"	"TIE1|7075"	"KIAA1199|57214"	"KIAA1683|80726"	"ZNF692|55657"	"CBX4|8535"	"F2R|2149"	"HS3ST1|9957"	"URB1|9875"
"133"	"133"	"2.68686766346523"	"TINF2|26277"	"APEX1|328"	"CTSK|1513"	"HSPB6|126393"	"MRAS|22808"	"MAGED1|9500"	"PCSK9|255738"	"ACVR1B|91"
"134"	"134"	"2.69059449229719"	"KIAA1462|57608"	"CYTH1|9267"	"TRANK1|9881"	"HN1|51155"	"ITLN1|55600"	"ADPRH|141"	"ZDHHC18|84243"	"PPP6C|5537"
"135"	"135"	"2.37579023031696"	"INMT|11185"	"DBNDD1|79007"	"KLC1|3831"	"PPARG|5468"	"TYMS|7298"	"TMEM181|57583"	"FOXQ1|94234"	"TMEM119|338773"
"136"	"136"	"2.83487451939352"	"ACP5|54"	"C4orf3|401152"	"CISD2|493856"	"ECM1|1893"	"C4orf32|132720"	"CIITA|4261"	"FAM125B|89853"	"CRLF1|9244"
"137"	"137"	"2.79531218778998"	"UBE2I|7329"	"BRPF3|27154"	"RCAN1|1827"	"NCF2|4688"	"FCGR2B|2213"	"FXR2|9513"	"GPX2|2877"	"MYBBP1A|10514"
"138"	"138"	"3.43981737290478"	"GIMAP5|55340"	"CD3E|916"	"MRPL3|11222"	"MYH10|4628"	"CMKLR1|1240"	"RAB7A|7879"	"PLOD1|5351"	"DNMBP|23268"
"139"	"139"	"2.88471895246223"	"LSR|51599"	"PAK4|10298"	"CREB3L2|64764"	"EXOSC5|56915"	"OAZ1|4946"	"GRAMD2|196996"	"RUSC1|23623"	"PKM2|5315"
"140"	"140"	"2.55118550438893"	"LGI3|203190"	"CALM1|801"	"C6orf145|221749"	"BPHL|670"	"CBLB|868"	"KDELR1|10945"	"INPP5A|3632"	"ADAMTSL2|9719"
"141"	"141"	"2.62197338649613"	"ESAM|90952"	"ANXA8L2|244"	"KRT6A|3853"	"KLF9|687"	"MMP7|4316"	"FAM114A1|92689"	"PYGO2|90780"	"CLDN1|9076"
"142"	"142"	"2.69507538918976"	"SESN1|27244"	"PITPNM2|57605"	"ICAM2|3384"	"PIM2|11040"	"TOM1L1|10040"	"PPIB|5479"	"DBI|1622"	"TJP1|7082"
"143"	"143"	"3.05513284052036"	"ARRB1|408"	"ANXA8|653145"	"ITGB4|3691"	"DCAF13|25879"	"SLC25A32|81034"	"SLC41A2|84102"	"BCL2L11|10018"	"C16orf58|64755"
"144"	"144"	"2.99593737212912"	"PKP3|11187"	"RNH1|6050"	"B4GALT7|11285"	"VPS37B|79720"	"DEAF1|10522"	"MOB2|81532"	"BAK1|578"	"CCNB1IP1|57820"
"145"	"145"	"3.15732642393968"	"C1QA|712"	"CD4|920"	"ARHGAP31|57514"	"IGSF10|285313"	"KIAA0040|9674"	"ABCA4|24"	"PPIF|10105"	"SPI1|6688"
"146"	"146"	"2.79423155914779"	"PPAPDC1B|84513"	"DDHD2|23259"	"MCM4|4173"	"CERCAM|51148"	"ADAMTS1|9510"	"CXCR4|7852"	"GMFG|9535"	"PUM1|9698"
"147"	"147"	"2.82740650081042"	"CALCOCO1|57658"	"ANKZF1|55139"	"DLG3|1741"	"PDGFC|56034"	"TMEM176A|55365"	"BYSL|705"	"DDAH2|23564"	"XYLT2|64132"
"148"	"148"	"2.96740434427363"	"ADD1|118"	"RNF4|6047"	"TTN|7273"	"PABPC1L|80336"	"MAN1A2|10905"	"AMD1|262"	"RAMP1|10267"	"AP3B1|8546"
"149"	"149"	"2.43832139243761"	"CCDC48|79825"	"CCDC50|152137"	"ST7|7982"	"COX18|285521"	"SLC25A13|10165"	"GPR160|26996"	"APIP|51074"	"STX3|6809"
"150"	"150"	"2.83979642305177"	"CDH1|999"	"WDR12|55759"	"GMFB|2764"	"SEMA4D|10507"	"GNPNAT1|64841"	"S100PBP|64766"	"NUDT16L1|84309"	"ITGB5|3693"
"151"	"151"	"2.9683499612221"	"BCL7B|9275"	"WBSCR22|114049"	"PITPNM1|9600"	"LIMK1|3984"	"TOR3A|64222"	"LDHA|3939"	"GLRX|2745"	"SHANK3|85358"
"152"	"152"	"2.67679508509945"	"C1R|715"	"SERPING1|710"	"RCC2|55920"	"PQLC1|80148"	"C17orf62|79415"	"REEP6|92840"	"SYNPO|11346"	"PYGB|5834"
"153"	"153"	"2.49958766660224"	"CXCL2|2920"	"KRT4|3851"	"GAB2|9846"	"LMNB1|4001"	"CAPN8|388743"	"PUS7|54517"	"ATP2B1|490"	"B4GALT4|8702"
"154"	"154"	"2.27013822790613"	"TCF21|6943"	"EIF1B|10289"	"ARAP3|64411"	"DNAJC12|56521"	"DCBLD1|285761"	"CPSF6|11052"	"CXXC5|51523"	"RPL10A|4736"
"155"	"155"	"2.55993206943039"	"SMG7|9887"	"FBXW2|26190"	"DOLPP1|57171"	"VHL|7428"	"STEAP1|26872"	"PIAS1|8554"	"UBAC1|10422"	"NDEL1|81565"
"156"	"156"	"2.37523702322531"	"TGFBR3|7049"	"NEDD4L|23327"	"ATP1B1|481"	"BRI3|25798"	"SYNJ2BP|55333"	"MMP19|4327"	"MERTK|10461"	"RNF38|152006"
"157"	"157"	"2.57629945854493"	"AFAP1L1|134265"	"CCNF|899"	"GPX8|493869"	"KLHL12|59349"	"DHCR24|1718"	"ST6GALNAC1|55808"	"TUBA1A|7846"	"PHC2|1912"
"158"	"158"	"2.38234976851788"	"NPR1|4881"	"SNX1|6642"	"AIFM1|9131"	"CUL7|9820"	"PCIF1|63935"	"DKFZp761E198|91056"	"FRMD8|83786"	"NINJ1|4814"
"159"	"159"	"2.30332735556887"	"HLA-E|3133"	"HCP5|10866"	"C11orf24|53838"	"FAM101B|359845"	"HSP90AB1|3326"	"ITGA4|3676"	"DNAJA1|3301"	"MEF2A|4205"
"160"	"160"	"2.39503747919666"	"SYT15|83849"	"ANO6|196527"	"ASCC3|10973"	"MAP3K4|4216"	"CLK2|1196"	"SULF2|55959"	"PIK3R3|8503"	"CEBPB|1051"
"161"	"161"	"2.595705607857"	"FXYD6|53826"	"LRRFIP1|9208"	"PRRX1|5396"	"NEXN|91624"	"RRAGA|10670"	"AATK|9625"	"NELF|26012"	"C17orf63|55731"
"162"	"162"	"2.93060051634004"	"AHNAK|79026"	"MYOF|26509"	"MAP3K8|1326"	"MLLT1|4298"	"ATP6V1E1|529"	"EXOC6|54536"	"HDDC2|51020"	"EPN2|22905"
"163"	"163"	"2.64799045655189"	"ITPRIP|85450"	"ZFP36L1|677"	"PDIA3|2923"	"CDCA5|113130"	"RDH11|51109"	"MAGI3|260425"	"CLINT1|9685"	"MXRA8|54587"
"164"	"164"	"2.72145487415764"	"NVL|4931"	"CEACAM5|1048"	"SEZ6L2|26470"	"FAM89A|375061"	"TAOK2|9344"	"CTTN|2017"	"FBXL19|54620"	"TAF12|6883"
"165"	"165"	"2.42251949805416"	"PTPLAD2|401494"	"UACA|55075"	"VCAN|1462"	"MFSD2A|84879"	"SLC2A3|6515"	"EGLN2|112398"	"CAPN12|147968"	"TMEM120B|144404"
"166"	"166"	"2.80550995249429"	"SLC7A7|9056"	"CTSB|1508"	"LONRF1|91694"	"FAM199X|139231"	"RANBP10|57610"	"TOX3|27324"	"ZNF276|92822"	"RFWD3|55159"
"167"	"167"	"2.24651714247491"	"FLAD1|80308"	"LONP2|83752"	"ASF1B|55723"	"TPM3|7170"	"CD2AP|23607"	"CPB2|1361"	"CLPTM1L|81037"	"PGP|283871"
"168"	"168"	"2.36178507631234"	"PEAR1|375033"	"CLSTN3|9746"	"LPGAT1|9926"	"RHOQ|23433"	"MTP18|51537"	"RABGGTA|5875"	"C22orf39|128977"	"HK2|3099"
"169"	"169"	"2.34434578854669"	"ZBED4|9889"	"AMOTL1|154810"	"SDC1|6382"	"POLR3E|55718"	"FASN|2194"	"GALNTL4|374378"	"SULT1A1|6817"	"CBR1|873"
"170"	"170"	"2.24433394546163"	"SPON1|10418"	"PCDH12|51294"	"DUS1L|64118"	"EPS8|2059"	"PLA2G4F|255189"	"HEBP1|50865"	"MFAP4|4239"	"NFIL3|4783"
"171"	"171"	"2.31056335450342"	"TGFBR2|7048"	"C19orf43|79002"	"ARF4|378"	"CARM1|10498"	"KLF10|7071"	"C5orf43|643155"	"SNX4|8723"	"MAP4|4134"
"172"	"172"	"2.62648445238264"	"PIN1|5300"	"YIPF2|78992"	"TIMELESS|8914"	"KIAA1324L|222223"	"DNAJC14|85406"	"TSPAN17|26262"	"STAC|6769"	"ANKRD27|84079"
"173"	"173"	"2.32042057710858"	"CFD|1675"	"EEF1A2|1917"	"BAG5|9529"	"HSPB8|26353"	"LEPR|3953"	"LGMN|5641"	"RNF144B|255488"	"KRT17|3872"
"174"	"174"	"2.45430735221052"	"AES|166"	"PRKCH|5583"	"SLC1A4|6509"	"DTX2|113878"	"RPL13A|23521"	"TSPO|706"	"S100A16|140576"	"TRABD|80305"
"175"	"175"	"2.24165312250236"	"GNAI2|2771"	"ADRB1|153"	"MUC21|394263"	"HSDL2|84263"	"KIAA1310|55683"	"GADD45B|4616"	"HINT3|135114"	"S100A4|6275"
"176"	"176"	"2.40320547843068"	"UCHL5|51377"	"AZI2|64343"	"PPP1R15B|84919"	"TRAF4|9618"	"LRRC15|131578"	"PKN1|5585"	"THUMPD3|25917"	"PLEKHA6|22874"
"177"	"177"	"2.44876935273869"	"ADAMTS8|11095"	"RHOA|387"	"TMEM92|162461"	"SMARCC1|6599"	"UBD|10537"	"GBP4|115361"	"FGL2|10875"	"SRD5A3|79644"
"178"	"178"	"2.38907793858489"	"UTP14A|10813"	"RAB14|51552"	"ROD1|9991"	"DNAJA3|9093"	"CACNB3|784"	"PTK7|5754"	"INTS8|55656"	"GATM|2628"
"179"	"179"	"2.55245855629129"	"PDIA3P|171423"	"ATG16L1|55054"	"SUFU|51684"	"PTTG1|9232"	"ABHD11|83451"	"ACTR1A|10121"	"TPMT|7172"	"LTA4H|4048"
"180"	"180"	"2.77097211270706"	"GSTO1|9446"	"UTRN|7402"	"GLRX3|10539"	"TMEM51|55092"	"CDK7|1022"	"FAM174A|345757"	"C11orf75|56935"	"AEBP1|165"
"181"	"181"	"2.50975316058535"	"MED14|9282"	"PSMG3|84262"	"DPP3|10072"	"OGDH|4967"	"C11orf51|25906"	"MPI|4351"	"RBP4|5950"	"MYO1D|4642"
"182"	"182"	"2.30657269015327"	"FAM136A|84908"	"XIAP|331"	"BNIP2|663"	"TMEM164|84187"	"NPAS2|4862"	"SH3D19|152503"	"FAM120A|23196"	"ENO1|2023"
"183"	"183"	"2.69254244560221"	"SNRPE|6635"	"ARPC5|10092"	"DENND2D|79961"	"CLSTN1|22883"	"OSTC|58505"	"UTP3|57050"	"PFDN5|5204"	"ARHGAP29|9411"
"184"	"184"	"2.3682219555737"	"GYPC|2995"	"ICAM3|3385"	"MFNG|4242"	"ST6GALNAC2|10610"	"CILP|8483"	"ZNF295|49854"	"MBOAT1|154141"	"ERN2|10595"
"185"	"185"	"2.3726588173973"	"GRIA1|2890"	"HLX|3142"	"EMILIN1|11117"	"FPR1|2357"	"HDAC3|8841"	"MRFAP1|93621"	"DMPK|1760"	"CRBN|51185"
"186"	"186"	"2.59126764433284"	"NKG7|4818"	"CXCL9|4283"	"SLC25A39|51629"	"SOSTDC1|25928"	"DUSP3|1845"	"PLS1|5357"	"SLC30A5|64924"	"PIK3CD|5293"
"187"	"187"	"2.26985632790494"	"TACC1|6867"	"SLC7A5|8140"	"CASK|8573"	"IKBKB|3551"	"SLC35B3|51000"	"PAQR4|124222"	"EBP|10682"	"SLC35B1|10237"
"188"	"188"	"2.33515326932016"	"SACM1L|22908"	"STT3B|201595"	"PPAP2B|8613"	"EHBP1|23301"	"ARAP1|116985"	"RASGEF1B|153020"	"PARP8|79668"	"CCNY|219771"
"189"	"189"	"2.39032773678786"	"ZSWIM4|65249"	"AMOTL2|51421"	"COPB2|9276"	"B3GNT5|84002"	"MAD2L1|4085"	"OSTM1|28962"	"FCHO2|115548"	"HEY1|23462"
"190"	"190"	"2.53830986370252"	"VAMP2|6844"	"BCL2A1|597"	"FYB|2533"	"APOL3|80833"	"DDX41|51428"	"CFB|629"	"B4GALT3|8703"	"EGLN3|112399"
"191"	"191"	"2.67513804148102"	"ZNF146|7705"	"PEF1|553115"	"EIF3I|8668"	"YBX1|4904"	"CLCN7|1186"	"KIAA0355|9710"	"GPRC5A|9052"	"KCNK1|3775"
"192"	"192"	"2.30164475179388"	"CD68|968"	"C15orf48|84419"	"C8orf30A|51236"	"APLN|8862"	"PLBD2|196463"	"TPPP3|51673"	"HSF1|3297"	"HPS3|84343"
"193"	"193"	"2.1689276254075"	"PALMD|54873"	"ACE|1636"	"DNAJC10|54431"	"SLC16A9|220963"	"ATP13A1|57130"	"NCKAP5L|57701"	"SGMS1|259230"	"C1S|716"
"194"	"194"	"2.28131284296066"	"CBX7|23492"	"TCF20|6942"	"TSPAN14|81619"	"LMAN2|10960"	"NDST2|8509"	"OLA1|29789"	"MUC20|200958"	"RNPS1|10921"
"195"	"195"	"2.314174222172"	"ULK2|9706"	"UBXN4|23190"	"UBL3|5412"	"YIPF3|25844"	"MTCH1|23787"	"GALNT14|79623"	"CCDC21|64793"	"ACSL4|2182"
"196"	"196"	"2.41987261146731"	"VWF|7450"	"SHMT2|6472"	"ATF4|468"	"ESYT1|23344"	"SLC25A11|8402"	"SDF2L1|23753"	"ARL6IP4|51329"	"TEAD1|7003"
"197"	"197"	"2.46287524166048"	"IFI30|10437"	"METTL1|4234"	"CHI3L1|1116"	"CTSZ|1522"	"BUB1|699"	"ELMO3|79767"	"MT1M|4499"	"C3AR1|719"
"198"	"198"	"2.24690273582219"	"PDK4|5166"	"CD83|9308"	"SOX18|54345"	"IRF7|3665"	"SERPINF1|5176"	"NME4|4833"	"C1orf58|148362"	"ILK|3611"
"199"	"199"	"2.36977165116465"	"SNX10|29887"	"TMEM106B|54664"	"TMOD3|29766"	"NUP62|23636"	"MGC2752|65996"	"TM9SF3|56889"	"MAGI1|9223"	"SNX17|9784"
"200"	"200"	"2.43781069800321"	"CDH11|1009"	"SMAD7|4092"	"UBASH3B|84959"	"PCDHGC3|5098"	"SEMA6D|80031"	"FAT1|2195"	"HECTD3|79654"	"GCNT2|2651"
"201"	"201"	"2.29384662093237"	"FLI1|2313"	"WIPF1|7456"	"EMP3|2014"	"SECISBP2L|9728"	"PARN|5073"	"POLR1C|9533"	"ANTXR2|118429"	"EPHB3|2049"
"202"	"202"	"2.30756107967677"	"C1QB|713"	"LPHN2|23266"	"R3HDM1|23518"	"KRT8|3856"	"HLA-DMB|3109"	"NTN4|59277"	"LOXL2|4017"	"AKAP1|8165"
"203"	"203"	"2.31458386449909"	"RIF1|55183"	"MTMR10|54893"	"MAP4K2|5871"	"NUDT22|84304"	"DGAT1|8694"	"FAM108A1|81926"	"CNP|1267"	"RAB1B|81876"
"204"	"204"	"2.66200628694728"	"FAM116A|201627"	"KIF2A|3796"	"SNX2|6643"	"GNA11|2767"	"APEH|327"	"MIA3|375056"	"CD276|80381"	"ID1|3397"
"205"	"205"	"2.38833646479703"	"DAP3|7818"	"LHFP|10186"	"RTEL1|51750"	"CCDC80|151887"	"PILRA|29992"	"C1GALT1C1|29071"	"GPNMB|10457"	"C16orf57|79650"
"206"	"206"	"2.03496589175433"	"SCN4B|6330"	"ZNF213|7760"	"PNPLA2|57104"	"NIPSNAP1|8508"	"MUC5B|727897"	"SIRT7|51547"	"INF2|64423"	"AMPD2|271"
"207"	"207"	"2.09566176082346"	"HSPD1|3329"	"PHKG2|5261"	"CLTC|1213"	"ANKRD29|147463"	"TEX2|55852"	"H3F3B|3021"	"HDAC4|9759"	"RTN3|10313"
"208"	"208"	"2.16957369527674"	"LRBA|987"	"MPG|4350"	"KIFC1|3833"	"ADSS|159"	"IGFBP3|3486"	"OGT|8473"	"IL1RL1|9173"	"PPP2R5A|5525"
"209"	"209"	"2.35673406768886"	"SEMA4C|54910"	"C20orf27|54976"	"TK1|7083"	"UNC13D|201294"	"RASSF8|11228"	"TP53INP2|58476"	"PTPRA|5786"	"ID4|3400"
"210"	"210"	"2.19465146828077"	"TNXB|7148"	"CCAR1|55749"	"MARK3|4140"	"CLASP2|23122"	"ZNF623|9831"	"ADAM15|8751"	"ACSL1|2180"	"EIF5B|9669"
"211"	"211"	"2.36080566659746"	"GDF15|9518"	"ATF3|467"	"EVI5|7813"	"SLC30A7|148867"	"TYROBP|7305"	"NOSTRIN|115677"	"GSK3B|2932"	"PLEK|5341"
"212"	"212"	"2.52129649059217"	"PAQR5|54852"	"MTX2|10651"	"C14orf1|11161"	"TMED10|10972"	"MAST2|23139"	"NOB1|28987"	"DENND2A|27147"	"PRSS16|10279"
"213"	"213"	"2.11058328569244"	"SLC27A3|11000"	"TMEM8A|58986"	"ALDH1A2|8854"	"PTPRM|5797"	"TMEM131|23505"	"SEC14L1|6397"	"STK40|83931"	"SMAP2|64744"
"214"	"214"	"2.34496316854667"	"ARRB2|409"	"RGS10|6001"	"PCMT1|5110"	"NUP43|348995"	"LIMD1|8994"	"CYR61|3491"	"LGSN|51557"	"VWA1|64856"
"215"	"215"	"2.25587808696957"	"C10orf116|10974"	"SYTL1|84958"	"UBXN11|91544"	"CRK|1398"	"NUP88|4927"	"SKIV2L|6499"	"CEBPD|1052"	"PANX1|24145"
"216"	"216"	"2.06860773268788"	"SNRPC|6631"	"GDF10|2662"	"TMEM45B|120224"	"VSIG10|54621"	"FKBP1A|2280"	"CSNK2A1|1457"	"SERPINE2|5270"	"MRPS25|64432"
"217"	"217"	"2.37728187226934"	"SLFN13|146857"	"SLFN11|91607"	"LOX|4015"	"EDN1|1906"	"PSIP1|11168"	"BRCC3|79184"	"TMEM69|51249"	"RNF11|26994"
"218"	"218"	"2.24214729424267"	"SRPRB|58477"	"CNBP|7555"	"SAT2|112483"	"FAM57A|79850"	"CRIM1|51232"	"NPM1|4869"	"AP1M1|8907"	"TNK2|10188"
"219"	"219"	"2.31123167615902"	"CLDN4|1364"	"DNAJB1|3337"	"KLF11|8462"	"ZNF219|51222"	"SLC9A3R2|9351"	"C3orf64|285203"	"GCA|25801"	"TMEM49|81671"
"220"	"220"	"1.86952290733253"	"RAI2|10742"	"CASP6|839"	"SMOC2|64094"	"ZFP62|643836"	"NDE1|54820"	"COASY|80347"	"PABPC1|26986"	"CASC3|22794"
"221"	"221"	"2.04750264701726"	"DKC1|1736"	"FAM55C|91775"	"KAT5|10524"	"FKBP2|2286"	"EGFL7|51162"	"RANBP9|10048"	"SLAIN2|57606"	"MAFK|7975"
"222"	"222"	"2.29897574016554"	"TBX3|6926"	"PRKCZ|5590"	"APOC1|341"	"CCDC85C|317762"	"APOE|348"	"METAP1|23173"	"ZDHHC16|84287"	"ICMT|23463"
"223"	"223"	"2.38679934260349"	"CD34|947"	"COL15A1|1306"	"CLIC4|25932"	"MINK1|50488"	"EDEM3|80267"	"CAMSAP1L1|23271"	"PFAS|5198"	"XAGE1D|9503"
"224"	"224"	"2.02083924136839"	"IDH2|3418"	"KLF13|51621"	"NFKBIA|4792"	"C17orf79|55352"	"S100A2|6273"	"SORBS3|10174"	"NACC1|112939"	"CDC37|11140"
"225"	"225"	"2.30735070811921"	"C20orf194|25943"	"RPE|6120"	"RRBP1|6238"	"FZD5|7855"	"FAM167A|83648"	"ARPC2|10109"	"ST5|6764"	"MT2A|4502"
"226"	"226"	"2.03081198059446"	"ACADL|33"	"MRPS34|65993"	"STUB1|10273"	"PARVB|29780"	"PFKP|5214"	"TRIM38|10475"	"GFRA3|2676"	"DDIT4|54541"
"227"	"227"	"2.49673157565845"	"SLC12A4|6560"	"CDKN2B|1030"	"CDKN2A|1029"	"PMEPA1|56937"	"FCER1G|2207"	"ITGB2|3689"	"INTS7|25896"	"SLC35A2|7355"
"228"	"228"	"2.09925455734138"	"HSD17B6|8630"	"RCN3|57333"	"DCTD|1635"	"ZYX|7791"	"SGCB|6443"	"PHF6|84295"	"PEBP1|5037"	"GALE|2582"
"229"	"229"	"2.10910781353755"	"MRC1|4360"	"OLFML2A|169611"	"DPP4|1803"	"KIF23|9493"	"PBXIP1|57326"	"FRMD6|122786"	"HMGB1|3146"	"TSC22D2|9819"
"230"	"230"	"2.3151373541865"	"HSPE1|3336"	"NOP10|55505"	"MPDZ|8777"	"MOBKL3|25843"	"PPIL1|51645"	"AFAP1|60312"	"KIAA1370|56204"	"JUB|84962"
"231"	"231"	"2.18125195732579"	"METTL7A|25840"	"FAM129B|64855"	"DOCK11|139818"	"ATR|545"	"ARMC8|25852"	"MBOAT2|129642"	"ERGIC3|51614"	"CRAT|1384"
"232"	"232"	"1.89168962015776"	"SLIT2|9353"	"RBBP5|5929"	"TMEM132A|54972"	"SLC5A3|6526"	"SPR|6697"	"ETV5|2119"	"SECTM1|6398"	"BMPR1A|657"
"233"	"233"	"1.98282742344514"	"GAS6|2621"	"DPH2|1802"	"AKIRIN1|79647"	"IFNAR2|3455"	"HSP90B1|7184"	"PRSS22|64063"	"PLBD1|79887"	"CRLS1|54675"
"234"	"234"	"2.52915766346034"	"ALS2CL|259173"	"WDR11|55717"	"ZRANB1|54764"	"LST1|7940"	"MAPK8IP3|23162"	"PTK6|5753"	"NFKBIE|4794"	"CBX3|11335"
"235"	"235"	"2.08815206885252"	"GIMAP7|168537"	"LAMB2|3913"	"IL2RB|3560"	"SPG20|23111"	"AGA|175"	"MEF2C|4208"	"TAPT1|202018"	"C5orf42|65250"
"236"	"236"	"1.90484032981751"	"VIM|7431"	"PIP5K1B|8395"	"TBC1D15|64786"	"EHD2|30846"	"KCNK3|3777"	"B3GNT9|84752"	"DSG2|1829"	"TRAM1|23471"
"237"	"237"	"1.99679001166794"	"ADAMTSL3|57188"	"ARHGAP18|93663"	"DPY19L1|23333"	"S100A10|6281"	"RHOD|29984"	"TSSC4|10078"	"TRAF2|7186"	"GORASP1|64689"
"238"	"238"	"1.85659540151982"	"FIGF|2277"	"DIXDC1|85458"	"PIGM|93183"	"TBC1D2|55357"	"WNT7B|7477"	"GJB1|2705"	"NCAPG2|54892"	"CHID1|66005"
"239"	"239"	"1.944708124331"	"TBX2|6909"	"ASPN|54829"	"IPO4|79711"	"RBM23|55147"	"PIGT|51604"	"CBWD1|55871"	"MCAM|4162"	"CTGF|1490"
"240"	"240"	"2.10247573327303"	"ARHGEF3|50650"	"TENC1|23371"	"MGRN1|23295"	"SHC1|6464"	"ADCY9|115"	"PDP1|54704"	"PPIP5K1|9677"	"KDM6B|23135"
"241"	"241"	"2.14920283650607"	"ILF2|3608"	"DYNC1LI1|51143"	"MST1R|4486"	"SELENBP1|8991"	"GLT25D1|79709"	"PIK3R2|5296"	"CDC42BPG|55561"	"TMEM139|135932"
"242"	"242"	"2.10036141537702"	"F8|2157"	"MCTS1|28985"	"ZNF687|57592"	"FOXO4|4303"	"GCC2|9648"	"PCF11|51585"	"NCDN|23154"	"PM20D2|135293"
"243"	"243"	"1.72442439237578"	"DES|1674"	"MTFR1|9650"	"ITFG3|83986"	"CYB5R3|1727"	"RHOT1|55288"	"TCEA3|6920"	"MAPK3|5595"	"SDF2|6388"
"244"	"244"	"1.91561850432498"	"POLR2H|5437"	"LRRC59|55379"	"ZMYM3|9203"	"GPC3|2719"	"SORL1|6653"	"ACACA|31"	"FAM117B|150864"	"DDX5|1655"
"245"	"245"	"2.02265158517107"	"COPA|1314"	"DLC1|10395"	"TMEM140|55281"	"KAZ|23254"	"MRVI1|10335"	"TMEM47|83604"	"CYFIP2|26999"	"ALDH2|217"
"246"	"246"	"1.94776633673794"	"MAP3K3|4215"	"UBE2O|63893"	"IFNGR2|3460"	"HCG18|414777"	"U2AF1|7307"	"SBF1|6305"	"DOCK6|57572"	"BUB3|9184"
"247"	"247"	"2.02820968830153"	"DPYSL2|1808"	"PNMA2|10687"	"KCNJ8|3764"	"NETO2|81831"	"YARS|8565"	"C1orf93|127281"	"RAB3GAP2|25782"	"ANKRD57|65124"
"248"	"248"	"1.80291580600911"	"FAM98A|25940"	"VEPH1|79674"	"GPR89A|653519"	"PCOLCE|5118"	"SYDE1|85360"	"MBTPS2|51360"	"RHOT2|89941"	"ZNF12|7559"
"249"	"249"	"1.95065311988082"	"SEC61A1|29927"	"SFRS13A|10772"	"DCP1A|55802"	"PMS2|5395"	"C3orf58|205428"	"STK38L|23012"	"SETD8|387893"	"IL20RA|53832"
"250"	"250"	"1.88509339596301"	"TIMM17A|10440"	"RNF43|54894"	"MGST3|4259"	"BACE2|25825"	"MACF1|23499"	"NAA40|79829"	"DNAL1|83544"	"YWHAZ|7534"
"251"	"251"	"2.02878065213451"	"EML1|2009"	"AK1|203"	"DPM2|8818"	"KDSR|2531"	"PIGN|23556"	"PCDH7|5099"	"ITGAE|3682"	"IGBP1|3476"
"252"	"252"	"2.05184482664613"	"MDGA1|266727"	"C10orf32|119032"	"HKDC1|80201"	"NCEH1|57552"	"ATN1|1822"	"MPZL2|10205"	"INCENP|3619"	"CLDN18|51208"
"253"	"253"	"1.99128295191324"	"SLC15A3|51296"	"SELL|6402"	"SOCS2|8835"	"C17orf70|80233"	"APBB1|322"	"CLIC3|9022"	"HLA-DQB2|3120"	"S100P|6286"
"254"	"254"	"2.08837804420476"	"ID3|3399"	"DNMT3A|1788"	"HDLBP|3069"	"HEATR5B|54497"	"SEC23IP|11196"	"CCNL2|81669"	"FAM168B|130074"	"PION|54103"
"255"	"255"	"1.968893040688"	"RBMS1|5937"	"WDR75|84128"	"CALU|813"	"LUZP6|767558"	"CNKSR1|10256"	"ERBB2IP|55914"	"EIF6|3692"	"FSTL3|10272"
"256"	"256"	"1.89750419331193"	"TMEM214|54867"	"POLR2D|5433"	"CREB3L4|148327"	"RHOB|388"	"FAM3C|10447"	"SNRNP70|6625"	"PPP1R3B|79660"	"MTHFD1L|25902"
"257"	"257"	"2.13987504148104"	"KRTCAP2|200185"	"TRIM47|91107"	"USP28|57646"	"ACAT1|38"	"GOT1|2805"	"KLHDC2|23588"	"GNL3L|54552"	"AAMP|14"
"258"	"258"	"2.08432561004688"	"CARD16|114769"	"PDZD11|51248"	"DCTN3|11258"	"ACACB|32"	"TRIB1|10221"	"OPN3|23596"	"PAFAH1B1|5048"	"TSR2|90121"
