"Index"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"31"	"31"	"4.3389191776332"	"CTNNAL1|8727"	"CDCA8|55143"	"FAM46B|115572"	"GRAMD3|65983"	"TMED3|23423"	"GPD1|2819"	"FCGBP|8857"	"ARL4A|10124"
"32"	"32"	"4.32282901665222"	"LAD1|3898"	"CAV2|858"	"KCNN4|3783"	"DOT1L|84444"	"HMGB3|3149"	"ANLN|54443"	"VAT1|10493"	"ATP13A2|23400"
"33"	"33"	"4.7566037073553"	"CDH5|1003"	"COL6A3|1293"	"BCL2L2|599"	"RARRES2|5919"	"OSBPL11|114885"	"PDIA4|9601"	"TNFAIP1|7126"	"SGPP2|130367"
"34"	"34"	"4.58134266128704"	"RAMP3|10268"	"PPP1R14B|26472"	"PAPLN|89932"	"DENND3|22898"	"SPINK1|6690"	"TREM1|54210"	"NCOA2|10499"	"HMGCR|3156"
"35"	"35"	"3.93662409698169"	"FAM107A|11170"	"FAM82A2|55177"	"LTF|4057"	"PAK6|56924"	"FHDC1|85462"	"GALNT7|51809"	"TRIM27|5987"	"KIF1C|10749"
"36"	"36"	"4.19884680335404"	"CLEC3B|7123"	"PAFAH1B3|5050"	"HMGCS1|3157"	"AKIRIN2|55122"	"KIAA0776|23376"	"KIF2C|11004"	"C7|730"	"AKR1B10|57016"
"37"	"37"	"4.34056623047686"	"TFB2M|64216"	"IDI1|3422"	"CSRP1|1465"	"LOXL1|4016"	"NQO1|1728"	"TMEM204|79652"	"DHTKD1|55526"	"NARF|26502"
"38"	"38"	"3.80317122925431"	"TEK|7010"	"MMP13|4322"	"RRAS|6237"	"TRAF7|84231"	"MOXD1|26002"	"ZHX3|23051"	"COMMD2|51122"	"NT5E|4907"
"39"	"39"	"4.07836339890479"	"TNFRSF21|27242"	"MYADM|91663"	"AGTPBP1|23287"	"IARS|3376"	"ADIPOR2|79602"	"SLC39A8|64116"	"SNX9|51429"	"DOCK10|55619"
"40"	"40"	"3.89339315280595"	"GJB2|2706"	"FPR2|2358"	"GCOM1|145781"	"NSF|4905"	"BMPR2|659"	"CYP24A1|1591"	"STK39|27347"	"SBDSP1|155370"
"41"	"41"	"4.24649416487456"	"PPM1F|9647"	"TTYH3|80727"	"KAT2A|2648"	"MCOLN1|57192"	"MMP1|4312"	"FAM160B1|57700"	"TMED9|54732"	"SAR1A|56681"
"42"	"42"	"4.1039568053631"	"C1orf107|27042"	"P4HB|5034"	"WBP2|23558"	"CAMKK2|10645"	"FAM102A|399665"	"ITGA11|22801"	"HEG1|57493"	"MTMR4|9110"
"43"	"43"	"4.44888015190342"	"PRKCE|5581"	"SGPL1|8879"	"NHSL1|57224"	"GGCX|2677"	"IL4I1|259307"	"FCGR3A|2214"	"ARID5A|10865"	"CSF1R|1436"
"44"	"44"	"3.95498720403347"	"PROM2|150696"	"UBE2T|29089"	"GPM6A|2823"	"S100A8|6279"	"STEAP3|55240"	"HPCAL1|3241"	"ADAM6|8755"	"PFKFB2|5208"
"45"	"45"	"4.54590657014947"	"SH2D3C|10044"	"SLC31A2|1318"	"CORO1A|11151"	"COL5A2|1290"	"NPL|80896"	"FADS2|9415"	"DNAJB4|11080"	"SLC2A1|6513"
"46"	"46"	"3.65686049909703"	"CAT|847"	"PEX11B|8799"	"SEC24D|9871"	"CCDC85A|114800"	"BMF|90427"	"ATIC|471"	"IL3RA|3563"	"RGS14|10636"
"47"	"47"	"4.2881974959549"	"KIF4A|24137"	"ANKRD1|27063"	"E2F1|1869"	"ARHGEF19|128272"	"MYO1B|4430"	"C1orf106|55765"	"SAR1B|51128"	"ACAT2|39"
"48"	"48"	"4.15294792803123"	"BGN|633"	"LRRC32|2615"	"SPAG5|10615"	"TTC7B|145567"	"SSR4|6748"	"SNX22|79856"	"SIN3A|25942"	"DPT|1805"
"49"	"49"	"3.67786190970186"	"AGER|177"	"STARD13|90627"	"CRABP2|1382"	"SLC4A7|9497"	"ABI2|10152"	"ALOX5AP|241"	"SEL1L3|23231"	"FPR3|2359"
"50"	"50"	"3.51868503099062"	"GORASP2|26003"	"CSTF2|1478"	"EMB|133418"	"PAPSS2|9060"	"CA9|768"	"ALOX5|240"	"CCDC64|92558"	"FHL3|2275"
"51"	"51"	"3.66508569657508"	"FHL1|2273"	"SYTL2|54843"	"HSPA5|3309"	"NPM3|10360"	"B3GNT2|10678"	"DYRK2|8445"	"SBDS|51119"	"TMEM87B|84910"
"52"	"52"	"3.71686290943047"	"MSTO1|55154"	"DOPEY2|9980"	"WFDC2|10406"	"CCNB2|9133"	"VIPR1|7433"	"TTL|150465"	"ITGA9|3680"	"LSS|4047"
"53"	"53"	"3.9639369567326"	"ZFP106|64397"	"UHMK1|127933"	"RNF13|11342"	"STX2|2054"	"FDPS|2224"	"NUSAP1|51203"	"RACGAP1|29127"	"MAP3K11|4296"
"54"	"54"	"3.67016850308447"	"GREM1|26585"	"AQP9|366"	"FEZ1|9638"	"TMEM62|80021"	"ARPP19|10776"	"FAM189A2|9413"	"SCRN1|9805"	"TNS3|64759"
"55"	"55"	"3.58450510365166"	"EDNRB|1910"	"PPP1R12C|54776"	"ABCC10|89845"	"IRF3|3661"	"PSD3|23362"	"PDK1|5163"	"B4GALT2|8704"	"CDC42SE2|56990"
"56"	"56"	"3.9550633221353"	"QKI|9444"	"SCUBE1|80274"	"PLK1|5347"	"KCNK5|8645"	"TTC39C|125488"	"SPSB1|80176"	"KIAA0907|22889"	"TUBB2C|10383"
"57"	"57"	"3.69744315163006"	"PHLDA2|7262"	"BCL9|607"	"KANK2|25959"	"TPRN|286262"	"GABARAPL1|23710"	"ANKRD40|91369"	"HBEGF|1839"	"RFX2|5990"
"58"	"58"	"3.71707322897393"	"FGD5|152273"	"MXRA5|25878"	"NEK6|10783"	"PTPN12|5782"	"INPP5K|51763"	"PLD2|5338"	"TARS2|80222"	"TXNDC17|84817"
"59"	"59"	"3.85616698209109"	"KLF6|1316"	"CLDN12|9069"	"TSPAN12|23554"	"MARCKSL1|65108"	"ZNF281|23528"	"RGS1|5996"	"LYVE1|10894"	"TP53BP2|7159"
