"Accuracy"	"Sensitivity"	"Specificity"	"T2"
"1"	0.988888888888889	0.987341772151899	1	3.24450445697014
"2"	1	1	1	2.72407446048656
"3"	0.988888888888889	0.987341772151899	1	3.72320173763829
"4"	0.966666666666667	0.962025316455696	1	3.55204002674795
"5"	0.988888888888889	0.987341772151899	1	2.9577230496014
"6"	1	1	1	3.39597331071019
"7"	1	1	1	2.99107817165529
"8"	0.977777777777778	0.974683544303797	1	3.13625850280307
"9"	0.977777777777778	0.974683544303797	1	3.12423217755494
"10"	0.955555555555556	0.949367088607595	1	3.57795059471503
"11"	0.966666666666667	0.962025316455696	1	3.14084291986449
"12"	0.966666666666667	0.962025316455696	1	2.88819505443448
"13"	0.988888888888889	0.987341772151899	1	3.14686184136339
"14"	0.966666666666667	0.962025316455696	1	3.27375215323257
"15"	0.977777777777778	0.974683544303797	1	3.36645066561121
"16"	0.988888888888889	0.987341772151899	1	3.72763235074944
"17"	0.966666666666667	0.962025316455696	1	3.78496122972595
"18"	0.988888888888889	0.987341772151899	1	3.18298052501801
"19"	0.977777777777778	0.974683544303797	1	3.15657291396197
"20"	0.977777777777778	0.974683544303797	1	3.24730058590392
"21"	0.944444444444444	0.949367088607595	0.909090909090909	3.28803590846161
"22"	0.966666666666667	0.962025316455696	1	3.27625709434455
"23"	1	1	1	3.12263965698001
"24"	0.955555555555556	0.949367088607595	1	3.29546373541648
"25"	0.966666666666667	0.962025316455696	1	3.089458367862
"26"	0.966666666666667	0.962025316455696	1	3.42100499994518
"27"	0.955555555555556	0.949367088607595	1	3.15456780613479
"28"	0.955555555555556	0.962025316455696	0.909090909090909	3.13282626760186
"29"	0.988888888888889	0.987341772151899	1	3.24921940128364
"30"	0.977777777777778	0.974683544303797	1	3.46009652677207
"31"	0.977777777777778	0.974683544303797	1	3.09496967144891
"32"	1	1	1	3.06472895348622
"33"	0.977777777777778	0.974683544303797	1	3.53645058370911
"34"	0.977777777777778	0.974683544303797	1	3.17896055220266
"35"	0.977777777777778	0.974683544303797	1	3.48416623068018
"36"	0.966666666666667	0.962025316455696	1	3.52284261606076
"37"	0.988888888888889	0.987341772151899	1	3.38538181118365
"38"	0.977777777777778	0.974683544303797	1	3.41288008778838
"39"	0.977777777777778	0.974683544303797	1	2.97042871686184
"40"	0.988888888888889	0.987341772151899	1	3.09108091064606
"41"	0.966666666666667	0.962025316455696	1	3.13692713376341
"42"	0.988888888888889	0.987341772151899	1	3.10007393597573
"43"	0.977777777777778	0.974683544303797	1	2.8649872362817
"44"	1	1	1	2.82952582390854
"45"	0.955555555555556	0.962025316455696	0.909090909090909	3.37915430865604
"46"	0.977777777777778	0.987341772151899	0.909090909090909	3.51769160572351
"47"	0.988888888888889	0.987341772151899	1	3.05297912810196
"48"	0.988888888888889	0.987341772151899	1	3.23089160564459
"49"	0.977777777777778	0.974683544303797	1	2.86552967981136
"50"	0.955555555555556	0.949367088607595	1	3.53988103040702
"51"	0.966666666666667	0.974683544303797	0.909090909090909	3.18070434497915
"52"	0.988888888888889	0.987341772151899	1	3.13800289357999
"53"	0.977777777777778	0.974683544303797	1	3.10916551955128
"54"	0.966666666666667	0.974683544303797	0.909090909090909	3.63881946466166
"55"	0.988888888888889	1	0.909090909090909	3.61354455244308
"56"	0.944444444444444	0.962025316455696	0.818181818181818	3.35387100017867
"57"	0.988888888888889	0.987341772151899	1	3.36789403926672
"58"	0.988888888888889	0.987341772151899	1	3.24079856707703
"59"	1	1	1	3.2284752236169
"60"	0.977777777777778	0.974683544303797	1	3.40750758836936
"61"	0.944444444444444	0.936708860759494	1	3.36173741901507
"62"	0.955555555555556	0.949367088607595	1	3.12040913093755
"63"	0.988888888888889	0.987341772151899	1	3.46142296765879
"64"	0.955555555555556	0.962025316455696	0.909090909090909	3.17885925331564
"65"	0.955555555555556	0.962025316455696	0.909090909090909	3.66054653227669
"66"	0.966666666666667	0.962025316455696	1	3.37005026157943
"67"	0.966666666666667	0.974683544303797	0.909090909090909	3.32748355868462
"68"	0.977777777777778	0.987341772151899	0.909090909090909	3.27544218444719
"69"	0.933333333333333	0.924050632911392	1	3.20108897603579
"70"	0.988888888888889	0.987341772151899	1	2.84684318593829
"71"	0.977777777777778	0.987341772151899	0.909090909090909	3.32158188758513
"72"	0.977777777777778	0.974683544303797	1	3.16828813888501
"73"	1	1	1	3.34762399104611
"74"	0.955555555555556	0.949367088607595	1	3.69244236378585
"75"	0.977777777777778	0.987341772151899	0.909090909090909	3.23622698465936
"76"	0.966666666666667	0.962025316455696	1	3.14349712038543
"77"	0.966666666666667	0.962025316455696	1	3.54751403544129
"78"	0.988888888888889	0.987341772151899	1	3.34741714895213
"79"	0.955555555555556	0.949367088607595	1	3.1065853226948
"80"	0.977777777777778	0.974683544303797	1	3.42565049787746
"81"	0.966666666666667	0.962025316455696	1	3.10844570444534
"82"	0.966666666666667	0.962025316455696	1	3.13748630224069
"83"	1	1	1	3.0328693416004
"84"	0.966666666666667	0.974683544303797	0.909090909090909	3.30094873256842
"85"	0.966666666666667	0.962025316455696	1	3.07485285951482
"86"	0.966666666666667	0.974683544303797	0.909090909090909	3.30554093909534
"87"	0.966666666666667	0.987341772151899	0.818181818181818	3.40322345575084
"88"	0.977777777777778	0.974683544303797	1	3.33215775348826
"89"	0.955555555555556	0.962025316455696	0.909090909090909	3.83758752369352
"90"	0.977777777777778	0.974683544303797	1	3.48253989401702
"91"	0.988888888888889	1	0.909090909090909	3.43196027052917
"92"	0.977777777777778	0.974683544303797	1	2.98437084710197
"93"	1	1	1	3.01890221284599
"94"	0.977777777777778	0.974683544303797	1	3.24259355329672
"95"	0.977777777777778	0.974683544303797	1	3.16404634550395
"96"	0.988888888888889	0.987341772151899	1	3.1736439528933
"97"	0.977777777777778	0.974683544303797	1	3.52820648795317
"98"	0.966666666666667	0.974683544303797	0.909090909090909	3.61528947717583
"99"	0.933333333333333	0.924050632911392	1	3.26239408614998
"100"	0.933333333333333	0.924050632911392	1	3.15166901393899
"101"	0.966666666666667	0.962025316455696	1	3.39488983397697
"102"	1	1	1	2.99652335826474
"103"	0.966666666666667	0.962025316455696	1	3.31102227704315
"104"	1	1	1	3.19980679279704
"105"	0.966666666666667	0.974683544303797	0.909090909090909	3.33277892160649
"106"	0.988888888888889	0.987341772151899	1	3.27630400543719
"107"	0.966666666666667	0.974683544303797	0.909090909090909	3.33186145837174
"108"	0.977777777777778	0.974683544303797	1	3.10189612693944
"109"	0.977777777777778	0.974683544303797	1	3.02995500016836
"110"	1	1	1	2.97542416928515
"111"	0.966666666666667	0.962025316455696	1	3.3657218140342
"112"	0.988888888888889	0.987341772151899	1	2.87990285807882
"113"	0.966666666666667	0.962025316455696	1	3.56756608084545
"114"	0.988888888888889	0.987341772151899	1	3.83649629571224
"115"	0.988888888888889	0.987341772151899	1	3.18109274298659
"116"	0.977777777777778	0.974683544303797	1	3.30758281961858
"117"	0.955555555555556	0.949367088607595	1	3.01910285111049
"118"	0.966666666666667	0.974683544303797	0.909090909090909	3.24996283015293
"119"	0.966666666666667	0.974683544303797	0.909090909090909	2.88139581226578
"120"	0.966666666666667	0.962025316455696	1	3.6588395283798
"121"	0.977777777777778	0.974683544303797	1	3.12627758759491
"122"	0.922222222222222	0.911392405063291	1	3.48858923504442
"123"	1	1	1	3.19413761262723
"124"	0.988888888888889	0.987341772151899	1	2.95506675034889
"125"	0.977777777777778	0.974683544303797	1	3.13075464762459
"126"	0.977777777777778	0.974683544303797	1	3.34907290560822
"127"	0.966666666666667	0.974683544303797	0.909090909090909	3.30697119385964
"128"	0.944444444444444	0.936708860759494	1	3.25179446475597
"129"	1	1	1	3.1074018629923
"130"	0.988888888888889	0.987341772151899	1	3.41427118146757
"131"	0.977777777777778	0.974683544303797	1	3.23625248226312
"132"	0.955555555555556	0.949367088607595	1	3.22841298642372
"133"	0.977777777777778	0.974683544303797	1	3.31977292419362
"134"	0.966666666666667	0.962025316455696	1	3.2619652214794
"135"	0.977777777777778	0.987341772151899	0.909090909090909	3.24454892161991
"136"	0.966666666666667	0.962025316455696	1	2.84671196913404
"137"	0.977777777777778	0.974683544303797	1	3.40954938597427
"138"	0.988888888888889	0.987341772151899	1	2.92671954853835
"139"	0.955555555555556	0.962025316455696	0.909090909090909	3.37915414651174
"140"	0.977777777777778	0.974683544303797	1	3.68451021313315
"141"	1	1	1	3.08439269462787
"142"	0.977777777777778	0.974683544303797	1	2.98422380406121
"143"	0.977777777777778	0.974683544303797	1	3.14089315661575
"144"	0.966666666666667	0.962025316455696	1	3.52734966305666
"145"	0.944444444444444	0.936708860759494	1	3.03215404039579
"146"	0.988888888888889	0.987341772151899	1	3.21511196950967
"147"	0.988888888888889	0.987341772151899	1	3.06285174036888
"148"	0.977777777777778	0.974683544303797	1	3.34916736391683
"149"	0.988888888888889	0.987341772151899	1	3.60164530074479
"150"	0.977777777777778	0.987341772151899	0.909090909090909	3.27825289792933
"151"	0.977777777777778	0.974683544303797	1	3.5003025244812
"152"	0.966666666666667	0.962025316455696	1	3.20417960925522
"153"	0.966666666666667	0.962025316455696	1	3.20012544122483
"154"	1	1	1	3.24146626432212
"155"	0.977777777777778	0.974683544303797	1	2.85021653182398
"156"	0.988888888888889	0.987341772151899	1	3.53337111135866
"157"	0.955555555555556	0.949367088607595	1	3.05258688257894
"158"	0.988888888888889	0.987341772151899	1	3.19299209689416
"159"	0.955555555555556	0.949367088607595	1	3.402556807066
"160"	0.977777777777778	0.974683544303797	1	3.08104073774532
"161"	0.988888888888889	0.987341772151899	1	3.11818064881321
"162"	0.988888888888889	0.987341772151899	1	3.41416995031193
"163"	0.988888888888889	0.987341772151899	1	3.16754198845549
"164"	0.966666666666667	0.974683544303797	0.909090909090909	3.09022819348055
"165"	0.977777777777778	0.987341772151899	0.909090909090909	3.15820041056932
"166"	0.977777777777778	0.974683544303797	1	3.09131916271728
"167"	0.988888888888889	0.987341772151899	1	3.04145257258717
"168"	0.977777777777778	0.974683544303797	1	2.94307775579258
"169"	0.966666666666667	0.962025316455696	1	3.35276520738276
"170"	0.966666666666667	0.974683544303797	0.909090909090909	3.51076960583575
"171"	0.966666666666667	0.962025316455696	1	3.22595875095542
"172"	0.955555555555556	0.962025316455696	0.909090909090909	3.45076269962947
"173"	0.966666666666667	0.974683544303797	0.909090909090909	3.23191196235341
"174"	0.988888888888889	0.987341772151899	1	3.35343280893471
"175"	0.977777777777778	0.974683544303797	1	3.14036098079937
"176"	0.955555555555556	0.949367088607595	1	3.35132021013482
"177"	0.966666666666667	0.974683544303797	0.909090909090909	3.13765121731405
"178"	0.977777777777778	0.974683544303797	1	3.16391313447785
"179"	0.988888888888889	0.987341772151899	1	3.62618388698689
"180"	0.966666666666667	0.962025316455696	1	3.34896581187926
"181"	0.977777777777778	0.987341772151899	0.909090909090909	3.64171506757863
"182"	0.977777777777778	0.974683544303797	1	2.99595707576411
"183"	0.966666666666667	0.974683544303797	0.909090909090909	3.61295321127997
"184"	0.977777777777778	0.987341772151899	0.909090909090909	3.59477968309411
"185"	0.966666666666667	0.962025316455696	1	3.19256955245823
"186"	0.955555555555556	0.949367088607595	1	3.20968432197811
"187"	0.922222222222222	0.924050632911392	0.909090909090909	3.36044536927206
"188"	0.988888888888889	0.987341772151899	1	3.26038031204549
"189"	0.966666666666667	0.962025316455696	1	3.29622886241282
"190"	0.977777777777778	0.974683544303797	1	3.2707496681733
"191"	0.966666666666667	0.962025316455696	1	3.39161448435903
"192"	0.977777777777778	0.974683544303797	1	3.0503079291793
"193"	0.966666666666667	0.962025316455696	1	3.04834449501648
"194"	0.977777777777778	0.987341772151899	0.909090909090909	3.33353826650831
"195"	0.988888888888889	0.987341772151899	1	3.27101407361512
"196"	0.966666666666667	0.962025316455696	1	3.38702211301167
"197"	1	1	1	3.31998736506922
"198"	0.966666666666667	0.974683544303797	0.909090909090909	3.31792341518807
"199"	0.966666666666667	0.974683544303797	0.909090909090909	3.77368680737342
"200"	0.955555555555556	0.962025316455696	0.909090909090909	3.25480174624921
"201"	0.977777777777778	0.974683544303797	1	3.12301787158449
"202"	1	1	1	3.37201375707392
"203"	0.988888888888889	0.987341772151899	1	3.10292462216105
"204"	0.988888888888889	0.987341772151899	1	3.35876124873744
"205"	0.955555555555556	0.949367088607595	1	3.51256613975441
"206"	1	1	1	3.26025561979659
"207"	0.966666666666667	0.987341772151899	0.818181818181818	3.18535450088564
"208"	0.988888888888889	0.987341772151899	1	3.62283344001097
"209"	0.933333333333333	0.924050632911392	1	3.82562393320337
"210"	0.955555555555556	0.949367088607595	1	3.32595884449238
"211"	1	1	1	3.07949735982755
"212"	0.922222222222222	0.911392405063291	1	3.58795797809251
"213"	0.988888888888889	0.987341772151899	1	3.10286255397569
"214"	0.977777777777778	0.974683544303797	1	3.51012621902199
"215"	0.966666666666667	0.974683544303797	0.909090909090909	3.14531689079792
"216"	0.966666666666667	0.962025316455696	1	3.28912703470761
"217"	0.966666666666667	0.962025316455696	1	3.38299884815798
"218"	1	1	1	3.18820587344152
"219"	1	1	1	3.2284087222854
"220"	0.988888888888889	0.987341772151899	1	3.28436262445152
"221"	1	1	1	3.50973249420611
"222"	0.977777777777778	0.974683544303797	1	2.9548943789714
"223"	0.988888888888889	0.987341772151899	1	3.56374798347809
"224"	0.977777777777778	0.974683544303797	1	2.86614747613038
"225"	0.977777777777778	0.974683544303797	1	3.33242824462297
"226"	0.977777777777778	0.974683544303797	1	3.50581767028447
"227"	0.966666666666667	0.974683544303797	0.909090909090909	3.40032929423341
"228"	0.977777777777778	0.974683544303797	1	3.34037891700525
"229"	0.922222222222222	0.911392405063291	1	3.40077668231088
