"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"
"51"	"51"	"1"	"1"	"1"	"2.30781809401159"	"PYCR1|5831"	"SLC19A3|80704"
"52"	"52"	"1"	"1"	"1"	"2.00291557028592"	"CKMT1B|1159"	"PYCR1|5831"
"53"	"53"	"0.955555555555556"	"0.949367088607595"	"1"	"2.19199919675499"	"PYCR1|5831"	"TMEM159|57146"
"54"	"54"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.87892741783817"	"RTKN2|219790"	"SPINT1|6692"
"55"	"55"	"0.977777777777778"	"0.974683544303797"	"1"	"1.82736515044559"	"PYCR1|5831"	"STYXL1|51657"
"56"	"56"	"0.988888888888889"	"0.987341772151899"	"1"	"2.134909685652"	"C11orf59|55004"	"PYCR1|5831"
"57"	"57"	"0.955555555555556"	"0.974683544303797"	"0.818181818181818"	"2.33330777096188"	"C5orf43|643155"	"PYCR1|5831"
"58"	"58"	"0.955555555555556"	"0.962025316455696"	"0.909090909090909"	"2.21254996784449"	"HMGA1|3159"	"RTKN2|219790"
"59"	"59"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"1.96034926995453"	"PYCR1|5831"	"SNRPB2|6629"
"60"	"60"	"0.966666666666667"	"0.962025316455696"	"1"	"2.03139102800773"	"C17orf81|23587"	"PYCR1|5831"
"61"	"61"	"0.977777777777778"	"0.974683544303797"	"1"	"2.18681214203797"	"MTX1|4580"	"PYCR1|5831"
"62"	"62"	"0.966666666666667"	"0.962025316455696"	"1"	"1.97587120211798"	"CKS1B|1163"	"RTKN2|219790"
"63"	"63"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.8985413056518"	"LAPTM4A|9741"	"PYCR1|5831"
"64"	"64"	"0.955555555555556"	"0.949367088607595"	"1"	"2.11430241700435"	"PYCR1|5831"	"TSKU|25987"
"65"	"65"	"0.944444444444444"	"0.936708860759494"	"1"	"1.92181258898014"	"CWF19L1|55280"	"PYCR1|5831"
"66"	"66"	"0.977777777777778"	"0.974683544303797"	"1"	"2.09284137729773"	"PYCR1|5831"	"TXNRD2|10587"
"67"	"67"	"0.977777777777778"	"0.974683544303797"	"1"	"1.93220163167554"	"PTK2|5747"	"PYCR1|5831"
"68"	"68"	"1"	"1"	"1"	"1.80862630484215"	"CUL5|8065"	"PYCR1|5831"
"69"	"69"	"0.955555555555556"	"0.949367088607595"	"1"	"1.99335102051995"	"CFLAR|8837"	"PYCR1|5831"
"70"	"70"	"0.977777777777778"	"1"	"0.818181818181818"	"1.70346058631655"	"RTKN2|219790"	"SLC35B3|51000"
"71"	"71"	"1"	"1"	"1"	"1.87280227658986"	"NFE2L2|4780"	"PYCR1|5831"
"72"	"72"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.93394293475401"	"PYCR1|5831"	"TNFAIP8|25816"
"73"	"73"	"0.977777777777778"	"1"	"0.818181818181818"	"1.77696444370724"	"GPATCH4|54865"	"PYCR1|5831"
"74"	"74"	"0.988888888888889"	"0.987341772151899"	"1"	"1.96994373764809"	"PYCR1|5831"	"TMEM208|29100"
"75"	"75"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"1.93625164562373"	"PYCR1|5831"	"SORBS2|8470"
"76"	"76"	"0.977777777777778"	"0.974683544303797"	"1"	"2.14455763042324"	"CCNI|10983"	"PYCR1|5831"
"77"	"77"	"0.988888888888889"	"0.987341772151899"	"1"	"2.03567441833101"	"MGC29506|51237"	"PYCR1|5831"
"78"	"78"	"0.966666666666667"	"0.962025316455696"	"1"	"2.03982712007657"	"EIF3J|8669"	"PYCR1|5831"
"79"	"79"	"0.955555555555556"	"0.974683544303797"	"0.818181818181818"	"1.94234178071541"	"LUC7L|55692"	"RTKN2|219790"
"80"	"80"	"0.955555555555556"	"0.962025316455696"	"0.909090909090909"	"1.93904349883414"	"FAM50A|9130"	"PYCR1|5831"
"81"	"81"	"0.966666666666667"	"0.962025316455696"	"1"	"1.85902945484527"	"RTKN2|219790"	"TMCO4|255104"
"82"	"82"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.88449684199527"	"PYCR1|5831"	"UCK1|83549"
"83"	"83"	"0.966666666666667"	"0.962025316455696"	"1"	"1.88153554485884"	"PBX2|5089"	"PYCR1|5831"
"84"	"84"	"0.966666666666667"	"0.962025316455696"	"1"	"1.87099365469173"	"DHRS7B|25979"	"RTKN2|219790"
"85"	"85"	"0.966666666666667"	"0.962025316455696"	"1"	"1.91470281368534"	"PPP4R1|9989"	"PYCR1|5831"
"86"	"86"	"0.977777777777778"	"0.974683544303797"	"1"	"2.13465167124726"	"RTKN2|219790"	"SLC25A10|1468"
"87"	"87"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"2.05549306827656"	"KLRAQ1|129285"	"PYCR1|5831"
"88"	"88"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.90344445276491"	"PYCR1|5831"	"SERPINA3|12"
"89"	"89"	"1"	"1"	"1"	"1.86747573264387"	"FAM111A|63901"	"PYCR1|5831"
"90"	"90"	"0.988888888888889"	"0.987341772151899"	"1"	"1.91502064298993"	"ACTN1|87"	"PYCR1|5831"
"91"	"91"	"0.988888888888889"	"0.987341772151899"	"1"	"1.94098210879503"	"APLP2|334"	"RTKN2|219790"
"92"	"92"	"0.988888888888889"	"0.987341772151899"	"1"	"2.5341328686565"	"HBB|3043"	"PYCR1|5831"
"93"	"93"	"0.955555555555556"	"0.962025316455696"	"0.909090909090909"	"1.96102590135031"	"ATXN7L3|56970"	"PYCR1|5831"
"94"	"94"	"0.977777777777778"	"0.974683544303797"	"1"	"2.0579891046815"	"FAM109B|150368"	"PYCR1|5831"
"95"	"95"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.9737926507547"	"PYCR1|5831"	"SRRT|51593"
"96"	"96"	"0.966666666666667"	"0.962025316455696"	"1"	"1.9246484281543"	"PYCR1|5831"	"SPSB3|90864"
"97"	"97"	"0.988888888888889"	"0.987341772151899"	"1"	"1.94299417903884"	"PYCR1|5831"	"RSL24D1|51187"
"98"	"98"	"0.988888888888889"	"1"	"0.909090909090909"	"2.02789281215733"	"PYCR1|5831"	"STARD3NL|83930"
"99"	"99"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"1.95073783369697"	"IPO5|3843"	"PYCR1|5831"
"100"	"100"	"0.977777777777778"	"0.974683544303797"	"1"	"1.82437972973043"	"PYCR1|5831"	"SGK269|79834"
