"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"31"	"31"	"0.988888888888889"	"0.987341772151899"	"1"	"6.62215587685845"	"ETV4|2118"	"FOLR2|2350"	"FUT2|2524"	"PNPLA6|10908"	"RTKN2|219790"	"TOP2A|7153"
"32"	"32"	"1"	"1"	"1"	"6.19219454742679"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"33"	"33"	"1"	"1"	"1"	"5.8789143426675"	"CCL19|6363"	"CD52|1043"	"EPB41L5|57669"	"PYCR1|5831"	"RAMP3|10268"	"SLC19A1|6573"
"34"	"34"	"0.988888888888889"	"1"	"0.909090909090909"	"6.71834926425164"	"HYAL2|8692"	"ITM2C|81618"	"MMP11|4320"	"MYL9|10398"	"PYCR1|5831"	"RTKN2|219790"
"35"	"35"	"1"	"1"	"1"	"5.98925655210174"	"CASP2|835"	"COL17A1|1308"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"
"36"	"36"	"0.988888888888889"	"1"	"0.909090909090909"	"7.31433197121672"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"37"	"37"	"1"	"1"	"1"	"6.51262196794342"	"DGKA|1606"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"SRPK1|6732"
"38"	"38"	"0.988888888888889"	"0.987341772151899"	"1"	"7.47868648349684"	"CORO1C|23603"	"FERMT1|55612"	"FOLR2|2350"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"
"39"	"39"	"0.988888888888889"	"0.987341772151899"	"1"	"6.90293778713441"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"SPTBN2|6712"
"40"	"40"	"0.988888888888889"	"1"	"0.909090909090909"	"6.16604724541087"	"CYP51A1|1595"	"FUT8|2530"	"HYAL2|8692"	"OTUD1|220213"	"PYCR1|5831"	"RTKN2|219790"
"41"	"41"	"1"	"1"	"1"	"6.30835626724712"	"CLEC2D|29121"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"	"TMPRSS4|56649"
"42"	"42"	"1"	"1"	"1"	"6.22342003322809"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"43"	"43"	"0.988888888888889"	"0.987341772151899"	"1"	"6.88128156739206"	"EPAS1|2034"	"HMGCS1|3157"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"
"44"	"44"	"0.988888888888889"	"0.987341772151899"	"1"	"6.78565638064126"	"EPAS1|2034"	"LGR4|55366"	"POU2AF1|5450"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"45"	"45"	"1"	"1"	"1"	"6.49866471160133"	"C13orf15|28984"	"COL17A1|1308"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"
"46"	"46"	"1"	"1"	"1"	"6.04657764806385"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"47"	"47"	"0.988888888888889"	"1"	"0.909090909090909"	"6.82226411558134"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"
"48"	"48"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"6.77907398247604"	"ACVRL1|94"	"CCL19|6363"	"DLG5|9231"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"49"	"49"	"0.988888888888889"	"0.987341772151899"	"1"	"6.48139590294503"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"VPS24|51652"
"50"	"50"	"1"	"1"	"1"	"5.99387647384591"	"FERMT1|55612"	"HYAL2|8692"	"MDK|4192"	"MVD|4597"	"PYCR1|5831"	"RTKN2|219790"
"51"	"51"	"0.988888888888889"	"1"	"0.909090909090909"	"6.51010575774009"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"52"	"52"	"1"	"1"	"1"	"5.85672042345229"	"ABCC3|8714"	"CASKIN2|57513"	"FUT2|2524"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"
"53"	"53"	"0.977777777777778"	"0.974683544303797"	"1"	"7.11732929002051"	"DGKA|1606"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"
"54"	"54"	"0.988888888888889"	"0.987341772151899"	"1"	"6.60414688906201"	"EPAS1|2034"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SGPL1|8879"	"USP48|84196"
"55"	"55"	"1"	"1"	"1"	"5.84325378688551"	"CYP51A1|1595"	"ETV4|2118"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"56"	"56"	"0.988888888888889"	"1"	"0.909090909090909"	"7.03644350609711"	"CASKIN2|57513"	"PNPLA6|10908"	"PYCR1|5831"	"RAB6A|5870"	"RTKN2|219790"	"SYNJ2|8871"
"57"	"57"	"0.977777777777778"	"0.974683544303797"	"1"	"6.74433344127777"	"PYCR1|5831"	"RNF149|284996"	"RNH1|6050"	"RTKN2|219790"	"TMPRSS4|56649"	"TRAF1|7185"
"58"	"58"	"1"	"1"	"1"	"5.93188466042584"	"MACROD2|140733"	"PYCR1|5831"	"RTKN2|219790"	"SERINC1|57515"	"SLC19A1|6573"	"SYNJ2|8871"
"59"	"59"	"1"	"1"	"1"	"6.67988866673292"	"C1orf198|84886"	"COL10A1|1300"	"LGR4|55366"	"MYL9|10398"	"PYCR1|5831"	"TNFAIP1|7126"
"60"	"60"	"0.988888888888889"	"1"	"0.909090909090909"	"6.17981585808767"	"FOLR2|2350"	"HYAL2|8692"	"MARCKSL1|65108"	"PYCR1|5831"	"RTKN2|219790"	"VSIG4|11326"
"61"	"61"	"0.988888888888889"	"0.987341772151899"	"1"	"7.37754151093729"	"COL10A1|1300"	"COL8A2|1296"	"EPAS1|2034"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"
"62"	"62"	"1"	"1"	"1"	"6.60643145363785"	"C1orf198|84886"	"COL10A1|1300"	"KDM5B|10765"	"MYL9|10398"	"PITPNC1|26207"	"PYCR1|5831"
"63"	"63"	"1"	"1"	"1"	"6.36141746441827"	"DLG5|9231"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"POU2AF1|5450"	"PYCR1|5831"
"64"	"64"	"1"	"1"	"1"	"6.28093604495278"	"APOLD1|81575"	"MACROD2|140733"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"65"	"65"	"1"	"1"	"1"	"6.25180615163688"	"ETV4|2118"	"FUT8|2530"	"LGR4|55366"	"RTKN2|219790"	"TNFAIP1|7126"	"TOP2A|7153"
"66"	"66"	"1"	"1"	"1"	"6.07467388818813"	"HYAL2|8692"	"MARCKSL1|65108"	"OTUD1|220213"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"67"	"67"	"0.977777777777778"	"0.974683544303797"	"1"	"6.89207667660692"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"68"	"68"	"0.988888888888889"	"0.987341772151899"	"1"	"7.01348399906782"	"C13orf15|28984"	"COL10A1|1300"	"COL12A1|1303"	"PYCR1|5831"	"SLC19A1|6573"	"SRPK1|6732"
"69"	"69"	"1"	"1"	"1"	"6.02120469307386"	"ADAM8|101"	"ALOX5AP|241"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"70"	"70"	"0.988888888888889"	"0.987341772151899"	"1"	"7.02271931931515"	"ANKRD22|118932"	"PYCR1|5831"	"RTKN2|219790"	"TOP2A|7153"	"TUBA1B|10376"	"USP48|84196"
"71"	"71"	"0.988888888888889"	"0.987341772151899"	"1"	"6.26117768725141"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"72"	"72"	"1"	"1"	"1"	"6.62966226593817"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"73"	"73"	"1"	"1"	"1"	"6.29610425295874"	"EPB41L5|57669"	"HYAL2|8692"	"LGR4|55366"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"
"74"	"74"	"1"	"1"	"1"	"6.60441291555941"	"EPAS1|2034"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"	"TUBA1B|10376"
"75"	"75"	"0.977777777777778"	"0.974683544303797"	"1"	"6.79517365686878"	"CENPF|1063"	"COL17A1|1308"	"PYCR1|5831"	"RTKN2|219790"	"RTN4|57142"	"SLC19A1|6573"
"76"	"76"	"0.988888888888889"	"0.987341772151899"	"1"	"6.80851882844381"	"CASKIN2|57513"	"LGR4|55366"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"77"	"77"	"0.988888888888889"	"1"	"0.909090909090909"	"7.38425391808365"	"C13orf1|57213"	"CASKIN2|57513"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"78"	"78"	"1"	"1"	"1"	"7.09223767584667"	"CASKIN2|57513"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"	"TEP1|7011"
"79"	"79"	"1"	"1"	"1"	"6.37675418715023"	"FERMT1|55612"	"IQGAP3|128239"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"80"	"80"	"1"	"1"	"1"	"6.38667220681742"	"CASKIN2|57513"	"FERMT1|55612"	"PFKL|5211"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"81"	"81"	"1"	"1"	"1"	"5.85301556216106"	"ANKRD22|118932"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SC4MOL|6307"	"SYNJ2|8871"
