"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"26"	"26"	"0.988888888888889"	"0.987341772151899"	"1"	"7.1466092532843"	"CAT|847"	"HYAL2|8692"	"LGR4|55366"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"27"	"27"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"8.30757150153602"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"COL17A1|1308"	"MYO9B|4650"	"PNPLA6|10908"	"PYCR1|5831"	"SPTBN2|6712"
"28"	"28"	"1"	"1"	"1"	"7.5054095306777"	"ADAM8|101"	"CASKIN2|57513"	"LGR4|55366"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"29"	"29"	"1"	"1"	"1"	"7.42028356130516"	"ETV4|2118"	"FERMT1|55612"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TNFAIP1|7126"	"TOP2A|7153"
"30"	"30"	"0.988888888888889"	"0.987341772151899"	"1"	"7.9067281183432"	"CD101|9398"	"COL10A1|1300"	"COL17A1|1308"	"JAK3|3718"	"PECAM1|5175"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"
"31"	"31"	"1"	"1"	"1"	"7.81852454114975"	"FERMT1|55612"	"IQGAP3|128239"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"	"USP48|84196"
"32"	"32"	"1"	"1"	"1"	"8.0219610753694"	"ALOX5AP|241"	"C1orf198|84886"	"CCL19|6363"	"COL10A1|1300"	"EPAS1|2034"	"ISLR|3671"	"KIAA0430|9665"	"PYCR1|5831"
"33"	"33"	"1"	"1"	"1"	"7.55650597094097"	"CAT|847"	"ETV4|2118"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"
"34"	"34"	"0.966666666666667"	"0.962025316455696"	"1"	"8.91735289851651"	"ABCC3|8714"	"C13orf1|57213"	"CASKIN2|57513"	"CAT|847"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"ST6GALNAC5|81849"
"35"	"35"	"1"	"1"	"1"	"8.27235860057236"	"COL17A1|1308"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SMG6|23293"	"SPTBN2|6712"	"ZHX3|23051"
