"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"26"	"26"	"1"	"1"	"1"	"8.00476795776258"	"CASKIN2|57513"	"COL10A1|1300"	"LOC84740|84740"	"OTUD1|220213"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"27"	"27"	"1"	"1"	"1"	"7.56930901040859"	"CORO1C|23603"	"EMP2|2013"	"FERMT1|55612"	"FOLR2|2350"	"FUT2|2524"	"HS6ST2|90161"	"RTKN2|219790"	"TOP2A|7153"
"28"	"28"	"1"	"1"	"1"	"7.93423510011669"	"ADAM8|101"	"ALOX5AP|241"	"C13orf1|57213"	"CASKIN2|57513"	"NAPSB|256236"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"29"	"29"	"0.977777777777778"	"0.974683544303797"	"1"	"8.25568805754729"	"ABCC3|8714"	"CASKIN2|57513"	"CENPF|1063"	"IDI1|3422"	"PYCR1|5831"	"RNF149|284996"	"SGEF|26084"	"SLC19A1|6573"
"30"	"30"	"1"	"1"	"1"	"8.17312738157622"	"CENPF|1063"	"FOLR2|2350"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TMPRSS4|56649"	"VSIG4|11326"
"31"	"31"	"1"	"1"	"1"	"7.05340264899126"	"ADAM8|101"	"ASPM|259266"	"BMF|90427"	"GCNT3|9245"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"TSPAN13|27075"
"32"	"32"	"0.988888888888889"	"0.987341772151899"	"1"	"7.57296462816717"	"FDPS|2224"	"HYAL2|8692"	"IQGAP3|128239"	"LTF|4057"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"33"	"33"	"0.988888888888889"	"0.987341772151899"	"1"	"8.9014385758173"	"COL10A1|1300"	"FERMT1|55612"	"FOLR2|2350"	"MSR1|4481"	"MSRB3|253827"	"SPP1|6696"	"TOP2A|7153"	"TUBA1B|10376"
"34"	"34"	"1"	"1"	"1"	"7.83530348843716"	"ENC1|8507"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TNFAIP1|7126"	"TOP2A|7153"	"TSPAN13|27075"
"35"	"35"	"1"	"1"	"1"	"6.77602175785067"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"IQGAP3|128239"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"
"36"	"36"	"0.988888888888889"	"0.987341772151899"	"1"	"8.03296354893435"	"DUSP8|1850"	"ETV4|2118"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SIRPB1|10326"	"SYNJ2|8871"
"37"	"37"	"0.988888888888889"	"0.987341772151899"	"1"	"8.69533492899009"	"CEP350|9857"	"CLEC2D|29121"	"FERMT1|55612"	"MMP11|4320"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"38"	"38"	"0.988888888888889"	"0.987341772151899"	"1"	"8.41411102720669"	"ANKRD22|118932"	"CASKIN2|57513"	"FERMT1|55612"	"PYCR1|5831"	"RNF149|284996"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"39"	"39"	"1"	"1"	"1"	"7.6185850745613"	"CLEC2D|29121"	"DOPEY2|9980"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"VPS24|51652"
"40"	"40"	"0.988888888888889"	"1"	"0.909090909090909"	"7.96000206693927"	"ANKS1A|23294"	"CASKIN2|57513"	"COL17A1|1308"	"PYCR1|5831"	"RNF149|284996"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"
"41"	"41"	"1"	"1"	"1"	"6.96006133692626"	"CYP51A1|1595"	"EPAS1|2034"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"
"42"	"42"	"1"	"1"	"1"	"7.52898224868919"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"LGR4|55366"	"LOC84740|84740"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"43"	"43"	"1"	"1"	"1"	"7.32401401163288"	"COL17A1|1308"	"FKBP11|51303"	"GGT5|2687"	"PECAM1|5175"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"TOP2A|7153"
"44"	"44"	"0.988888888888889"	"0.987341772151899"	"1"	"8.38002849530331"	"COL10A1|1300"	"CXCL13|10563"	"EPAS1|2034"	"INSIG1|3638"	"ISLR|3671"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"
"45"	"45"	"1"	"1"	"1"	"7.32486992627882"	"DOPEY2|9980"	"FERMT1|55612"	"IQGAP3|128239"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"RTKN2|219790"	"SC4MOL|6307"	"SLC19A1|6573"
"46"	"46"	"0.988888888888889"	"0.987341772151899"	"1"	"7.28480191621842"	"CA9|768"	"CLEC2D|29121"	"DOPEY2|9980"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"STX12|23673"	"USP48|84196"
"47"	"47"	"1"	"1"	"1"	"8.12404995158229"	"CDCA8|55143"	"COL10A1|1300"	"COL12A1|1303"	"KBTBD2|25948"	"MYL6|4637"	"PRELP|5549"	"PYCR1|5831"	"SLC19A1|6573"
"48"	"48"	"1"	"1"	"1"	"7.3869895786283"	"ANKRD22|118932"	"FERMT1|55612"	"HS6ST2|90161"	"PYCR1|5831"	"RTKN2|219790"	"SBDS|51119"	"SLC19A1|6573"	"USP48|84196"
"49"	"49"	"0.988888888888889"	"0.987341772151899"	"1"	"8.66990226107576"	"CYP51A1|1595"	"DUSP4|1846"	"ENC1|8507"	"EPAS1|2034"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"50"	"50"	"1"	"1"	"1"	"7.12733645636751"	"ABCC3|8714"	"MMP12|4321"	"MYO1C|4641"	"PLD2|5338"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"51"	"51"	"0.988888888888889"	"0.987341772151899"	"1"	"7.9166950901115"	"COL10A1|1300"	"CYP51A1|1595"	"EPAS1|2034"	"LGR4|55366"	"MYL9|10398"	"PYCR1|5831"	"RALGPS2|55103"	"ST6GALNAC5|81849"
"52"	"52"	"1"	"1"	"1"	"7.52910516019669"	"EPAS1|2034"	"KIF20A|10112"	"LGR4|55366"	"LTF|4057"	"MYL6|4637"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"53"	"53"	"1"	"1"	"1"	"7.85958457517741"	"C13orf15|28984"	"COL10A1|1300"	"COL12A1|1303"	"FKBP11|51303"	"PYCR1|5831"	"SLC19A1|6573"	"SYNJ2|8871"	"WISP2|8839"
