"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"24"	"24"	"1"	"1"	"1"	"7.9999345124847"	"ANKRD22|118932"	"CASKIN2|57513"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SPTBN2|6712"	"SQLE|6713"	"SYNJ2|8871"	"UBC|7316"
"25"	"25"	"0.988888888888889"	"0.987341772151899"	"1"	"8.44964150522877"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"POU2AF1|5450"	"PYCR1|5831"	"RCC1|1104"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"26"	"26"	"1"	"1"	"1"	"8.62119034522278"	"CYP51A1|1595"	"EPB41L5|57669"	"ETV4|2118"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TNFAIP1|7126"
"27"	"27"	"1"	"1"	"1"	"8.48923707548667"	"ANKRD22|118932"	"BMF|90427"	"CD101|9398"	"COL10A1|1300"	"MYL9|10398"	"PRPSAP1|5635"	"PYCR1|5831"	"SLC35D1|23169"	"TSPAN13|27075"
"28"	"28"	"1"	"1"	"1"	"8.4289826062311"	"ABCC3|8714"	"FERMT1|55612"	"PTTG1|9232"	"PYCR1|5831"	"RTKN2|219790"	"RTN4|57142"	"SBDS|51119"	"SLC19A1|6573"	"USP48|84196"
"29"	"29"	"1"	"1"	"1"	"8.54764113469929"	"CA9|768"	"ETV4|2118"	"HS6ST2|90161"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"	"TREM1|54210"
"30"	"30"	"0.988888888888889"	"1"	"0.909090909090909"	"8.36864303342129"	"COL17A1|1308"	"FKBP11|51303"	"GGT5|2687"	"NPL|80896"	"PECAM1|5175"	"PPAP2C|8612"	"PYCR1|5831"	"SLC19A1|6573"	"TSPO|706"
"31"	"31"	"0.988888888888889"	"1"	"0.909090909090909"	"8.04489249079258"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"STARD7|56910"	"TNFAIP1|7126"	"WFS1|7466"
"32"	"32"	"1"	"1"	"1"	"8.26904165155134"	"ADAM8|101"	"HS6ST2|90161"	"HYAL2|8692"	"MARCKSL1|65108"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SDCBP|6386"	"SLC19A1|6573"
"33"	"33"	"1"	"1"	"1"	"7.85768412853703"	"FERMT1|55612"	"GAS2L1|10634"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"TNFAIP1|7126"	"VPS24|51652"
