"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"
"44"	"44"	"0.977777777777778"	"0.974683544303797"	"1"	"4.21416574745608"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"45"	"45"	"0.966666666666667"	"0.962025316455696"	"1"	"4.4215337136207"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"46"	"46"	"0.977777777777778"	"0.974683544303797"	"1"	"4.06173312444217"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"47"	"47"	"0.988888888888889"	"0.987341772151899"	"1"	"4.34486563109281"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"48"	"48"	"0.977777777777778"	"0.974683544303797"	"1"	"4.20918078411491"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"49"	"49"	"0.988888888888889"	"0.987341772151899"	"1"	"4.02965354705417"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"50"	"50"	"0.988888888888889"	"0.987341772151899"	"1"	"4.03068553225493"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"51"	"51"	"0.977777777777778"	"0.974683544303797"	"1"	"4.11823871180877"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"52"	"52"	"0.988888888888889"	"0.987341772151899"	"1"	"3.8605052816475"	"CORO1C|23603"	"RTKN2|219790"	"TOP2A|7153"
"53"	"53"	"1"	"1"	"1"	"4.00207361171752"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"54"	"54"	"1"	"1"	"1"	"4.34691898570445"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"55"	"55"	"1"	"1"	"1"	"4.04179662115348"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"56"	"56"	"0.977777777777778"	"0.974683544303797"	"1"	"4.18887479521802"	"ETV4|2118"	"RTKN2|219790"	"TOP2A|7153"
"57"	"57"	"0.977777777777778"	"0.974683544303797"	"1"	"4.25537389230067"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"58"	"58"	"1"	"1"	"1"	"3.94553287946776"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"59"	"59"	"0.977777777777778"	"0.974683544303797"	"1"	"4.08496826155387"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"
"60"	"60"	"0.988888888888889"	"0.987341772151899"	"1"	"4.01298967677791"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"61"	"61"	"0.977777777777778"	"0.974683544303797"	"1"	"4.68970766157672"	"COL10A1|1300"	"MYL9|10398"	"PYCR1|5831"
"62"	"62"	"0.988888888888889"	"0.987341772151899"	"1"	"4.19154607790588"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"63"	"63"	"0.988888888888889"	"0.987341772151899"	"1"	"3.84437844071912"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"64"	"64"	"1"	"1"	"1"	"4.03417807227598"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"65"	"65"	"0.988888888888889"	"0.987341772151899"	"1"	"4.18084423575249"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"66"	"66"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"4.01004568305808"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"67"	"67"	"1"	"1"	"1"	"3.67417440124844"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"68"	"68"	"0.988888888888889"	"0.987341772151899"	"1"	"4.15984364829955"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"69"	"69"	"0.955555555555556"	"0.949367088607595"	"1"	"4.28801078538841"	"CORO1C|23603"	"RTKN2|219790"	"TOP2A|7153"
"70"	"70"	"0.988888888888889"	"0.987341772151899"	"1"	"4.06077324599677"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"71"	"71"	"0.988888888888889"	"0.987341772151899"	"1"	"4.09269550278359"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"72"	"72"	"1"	"1"	"1"	"4.09451515524392"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"73"	"73"	"1"	"1"	"1"	"4.42242346945024"	"COL10A1|1300"	"MYL9|10398"	"PYCR1|5831"
"74"	"74"	"1"	"1"	"1"	"3.97178039374724"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"75"	"75"	"0.988888888888889"	"0.987341772151899"	"1"	"3.82445695111875"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"76"	"76"	"1"	"1"	"1"	"3.73856912145219"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"77"	"77"	"0.988888888888889"	"0.987341772151899"	"1"	"4.06042226678068"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"78"	"78"	"0.988888888888889"	"1"	"0.909090909090909"	"3.85645029201795"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"79"	"79"	"0.988888888888889"	"0.987341772151899"	"1"	"4.10791363498721"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"80"	"80"	"0.977777777777778"	"0.974683544303797"	"1"	"3.94927204993746"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"81"	"81"	"0.977777777777778"	"0.974683544303797"	"1"	"4.42206654187975"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"82"	"82"	"0.955555555555556"	"0.949367088607595"	"1"	"4.3973022368622"	"CORO1C|23603"	"RTKN2|219790"	"TOP2A|7153"
"83"	"83"	"0.977777777777778"	"0.974683544303797"	"1"	"4.4554309863087"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"84"	"84"	"0.988888888888889"	"0.987341772151899"	"1"	"4.16945199674172"	"PYCR1|5831"	"RTKN2|219790"	"SGPL1|8879"
"85"	"85"	"0.988888888888889"	"0.987341772151899"	"1"	"3.94728070813373"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"86"	"86"	"0.977777777777778"	"0.974683544303797"	"1"	"3.89798016505979"	"ACVRL1|94"	"COL10A1|1300"	"PYCR1|5831"
"87"	"87"	"0.966666666666667"	"0.962025316455696"	"1"	"4.39905670104239"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"88"	"88"	"0.977777777777778"	"0.974683544303797"	"1"	"4.02883815680683"	"CORO1C|23603"	"RTKN2|219790"	"TOP2A|7153"
"89"	"89"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"4.04426343995671"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"90"	"90"	"0.977777777777778"	"0.974683544303797"	"1"	"4.32324271401653"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"91"	"91"	"0.977777777777778"	"0.974683544303797"	"1"	"3.98184044637638"	"IQGAP3|128239"	"PNPLA6|10908"	"RTKN2|219790"
"92"	"92"	"0.977777777777778"	"0.974683544303797"	"1"	"4.12228972268505"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"93"	"93"	"0.966666666666667"	"0.962025316455696"	"1"	"4.50803865364563"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"94"	"94"	"0.988888888888889"	"0.987341772151899"	"1"	"4.00906641979198"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"95"	"95"	"0.988888888888889"	"0.987341772151899"	"1"	"3.98169284153475"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"96"	"96"	"0.977777777777778"	"0.974683544303797"	"1"	"4.25972626021146"	"CORO1C|23603"	"RTKN2|219790"	"TOP2A|7153"
"97"	"97"	"0.988888888888889"	"0.987341772151899"	"1"	"4.43031175621112"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"98"	"98"	"1"	"1"	"1"	"3.84843451012626"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
