"Accuracy"	"Sensitivity"	"Specificity"	"T2"
"90"	0.988888888888889	1	0.909090909090909	8.40155247551124
"91"	0.988888888888889	0.987341772151899	1	7.31206650385473
"92"	1	1	1	8.18376199447102
"93"	1	1	1	7.29052304355665
"94"	1	1	1	8.08550697566493
"95"	1	1	1	8.79052005742323
"96"	1	1	1	7.43959600408764
"97"	1	1	1	8.26493984625115
"98"	1	1	1	8.21158008734423
"99"	1	1	1	7.35948669180877
"100"	1	1	1	8.04583935237678
"101"	1	1	1	7.75655763521584
"102"	1	1	1	7.36786605613602
"103"	1	1	1	7.42761912780334
"104"	1	1	1	8.40322418275131
"105"	1	1	1	7.35087887801998
"106"	0.988888888888889	0.987341772151899	1	7.58273938258275
"107"	1	1	1	8.30958336997188
"108"	1	1	1	7.05997497312501
"109"	1	1	1	7.50268025687799
"110"	1	1	1	7.0120637009784
"111"	0.988888888888889	0.987341772151899	1	8.03148091052149
"112"	1	1	1	8.54792610287631
"113"	1	1	1	8.06234794534813
"114"	0.977777777777778	0.974683544303797	1	7.63231342610562
"115"	1	1	1	8.46949051628893
"116"	1	1	1	7.6703940106512
"117"	1	1	1	7.31751082107265
"118"	1	1	1	8.17697980265211
"119"	1	1	1	7.03855008121701
"120"	1	1	1	7.260424027082
"121"	1	1	1	7.63493492492119
"122"	0.988888888888889	0.987341772151899	1	7.77087447394657
"123"	1	1	1	7.59554240377985
"124"	0.988888888888889	0.987341772151899	1	8.41034771603658
"125"	1	1	1	7.03662662523518
"126"	0.988888888888889	0.987341772151899	1	7.79084318879544
"127"	0.988888888888889	0.987341772151899	1	8.01480829637319
"128"	1	1	1	7.06443941817168
"129"	1	1	1	7.45064779747183
"130"	0.988888888888889	0.987341772151899	1	7.64165783881566
"131"	0.988888888888889	0.987341772151899	1	7.75951283456767
"132"	1	1	1	6.80933566952033
"133"	0.988888888888889	1	0.909090909090909	8.85735028582224
"134"	1	1	1	7.93167402447957
"135"	1	1	1	6.89785946648018
"136"	1	1	1	8.33426802849576
"137"	1	1	1	8.73500578348755
"138"	0.988888888888889	0.987341772151899	1	9.08783207570158
"139"	1	1	1	8.15042919583547
"140"	1	1	1	7.71711095002511
"141"	1	1	1	7.28035745251234
"142"	1	1	1	7.08175024961253
"143"	0.988888888888889	0.987341772151899	1	8.24152963268956
"144"	1	1	1	7.96691688940468
"145"	1	1	1	7.39209044478447
"146"	1	1	1	7.32766010787171
"147"	1	1	1	7.74473147061424
"148"	1	1	1	8.1245840457131
"149"	1	1	1	7.14969821343379
"150"	1	1	1	7.49326471083653
"151"	0.977777777777778	0.974683544303797	1	8.34022870811952
"152"	0.988888888888889	0.987341772151899	1	8.16121839812661
"153"	0.977777777777778	0.974683544303797	1	8.40845370212308
"154"	1	1	1	6.89714910076012
"155"	1	1	1	6.75684929790439
"156"	1	1	1	7.38993985062397
"157"	0.988888888888889	0.987341772151899	1	8.40105694516391
"158"	1	1	1	6.41059696248725
"159"	0.977777777777778	0.987341772151899	0.909090909090909	8.38398783580683
"160"	1	1	1	7.12395795073096
"161"	0.988888888888889	1	0.909090909090909	7.40410571893993
"162"	1	1	1	6.83005784856188
"163"	1	1	1	7.80655433257
"164"	1	1	1	7.13786057398096
"165"	0.977777777777778	0.987341772151899	0.909090909090909	8.77603601703802
"166"	1	1	1	9.29741823942302
"167"	1	1	1	8.11285018791716
"168"	0.988888888888889	1	0.909090909090909	7.95039802650631
"169"	1	1	1	8.0237050552686
"170"	1	1	1	7.17642768799892
"171"	0.988888888888889	0.987341772151899	1	7.90000069889533
"172"	0.988888888888889	0.987341772151899	1	9.1836930073289
"173"	1	1	1	7.50917660012558
"174"	0.977777777777778	0.987341772151899	0.909090909090909	7.82784502791631
"175"	1	1	1	8.39442827761229
"176"	1	1	1	7.6880036502902
"177"	1	1	1	7.82638213082969
"178"	0.977777777777778	0.987341772151899	0.909090909090909	9.81320027076636
"179"	1	1	1	7.48795126471351
"180"	1	1	1	7.07569657232557
"181"	1	1	1	7.52595394157662
"182"	1	1	1	7.19858367992715
"183"	1	1	1	7.32347038465522
"184"	0.977777777777778	0.987341772151899	0.909090909090909	8.56046291854053
"185"	1	1	1	7.92107306544435
"186"	1	1	1	7.030079279758
"187"	1	1	1	7.453066202201
"188"	1	1	1	7.765147628158
"189"	0.988888888888889	0.987341772151899	1	8.19170025458701
"190"	1	1	1	7.5187209350608
"191"	1	1	1	7.81789342285364
"192"	0.988888888888889	0.987341772151899	1	8.55893055346304
"193"	1	1	1	8.39787422719106
"194"	1	1	1	7.18738072087671
"195"	0.988888888888889	0.987341772151899	1	8.83993599108904
"196"	1	1	1	8.92660466666407
"197"	0.988888888888889	1	0.909090909090909	8.28531046831271
"198"	1	1	1	7.6535556576686
"199"	1	1	1	6.83950951065317
"200"	1	1	1	7.71620584294963
"201"	0.988888888888889	0.987341772151899	1	7.71566799396582
"202"	1	1	1	7.21147699412514
"203"	1	1	1	7.32017345637755
"204"	0.988888888888889	0.987341772151899	1	8.44232905061383
"205"	0.977777777777778	0.974683544303797	1	9.08055850177384
"206"	1	1	1	7.54642037719049
"207"	0.988888888888889	0.987341772151899	1	7.3788228690585
"208"	0.977777777777778	0.974683544303797	1	7.63638300211289
"209"	1	1	1	7.00101965799192
"210"	1	1	1	7.31560529958466
"211"	1	1	1	8.26229591940239
"212"	0.988888888888889	0.987341772151899	1	8.30949781559839
"213"	0.988888888888889	0.987341772151899	1	7.86615491487383
"214"	1	1	1	7.55626933683781
"215"	1	1	1	8.78481487882916
"216"	0.988888888888889	0.987341772151899	1	8.84567042733641
"217"	1	1	1	6.999610398679
"218"	1	1	1	7.2727051049975
"219"	1	1	1	7.3981298136272
"220"	1	1	1	7.48200018190189
"221"	0.988888888888889	0.987341772151899	1	7.78618028105662
"222"	1	1	1	6.79881772676332
"223"	0.988888888888889	0.987341772151899	1	8.53192033266336
"224"	1	1	1	7.35085424301976
"225"	1	1	1	7.51678151834467
"226"	1	1	1	7.17023681334703
"227"	1	1	1	7.74981676875992
"228"	1	1	1	7.87284193271296
"229"	1	1	1	7.45001766404191
"230"	1	1	1	7.39781596477827
"231"	0.988888888888889	0.987341772151899	1	7.8604740830486
"232"	1	1	1	7.2986081706547
"233"	0.988888888888889	0.987341772151899	1	7.74882645405115
"234"	1	1	1	7.77127940377814
"235"	1	1	1	7.70686997137419
"236"	0.988888888888889	0.987341772151899	1	8.04837927550663
"237"	0.988888888888889	0.987341772151899	1	7.84017877145323
"238"	0.988888888888889	0.987341772151899	1	7.49589177645606
"239"	0.988888888888889	0.987341772151899	1	9.13342973588458
"240"	1	1	1	7.31233813170295
"241"	1	1	1	7.00543539946946
"242"	1	1	1	7.81251883621506
"243"	0.955555555555556	0.949367088607595	1	7.68308848880195
"244"	1	1	1	8.20916528647558
"245"	0.988888888888889	0.987341772151899	1	7.98898072462487
"246"	0.988888888888889	0.987341772151899	1	8.09445631865048
"247"	1	1	1	6.86878460490953
"248"	1	1	1	8.11944628125653
"249"	1	1	1	6.96238582228243
"250"	0.977777777777778	0.974683544303797	1	7.40364348525893
"251"	0.988888888888889	0.987341772151899	1	8.69394759628277
"252"	1	1	1	8.18437212801902
"253"	1	1	1	7.47076478998883
"254"	1	1	1	7.63636511464747
"255"	1	1	1	7.73022580578851
"256"	1	1	1	7.6556089400185
"257"	0.988888888888889	0.987341772151899	1	6.73927679078533
"258"	1	1	1	7.35471787181893
"259"	0.988888888888889	0.987341772151899	1	8.15249703183655
"260"	1	1	1	7.29644950005563
"261"	0.988888888888889	0.987341772151899	1	7.84886881605543
"262"	0.988888888888889	0.987341772151899	1	8.04561290497507
"263"	0.988888888888889	0.987341772151899	1	7.47550370465346
"264"	1	1	1	8.00210988204629
"265"	0.988888888888889	1	0.909090909090909	7.54934280493079
"266"	0.988888888888889	0.987341772151899	1	7.76212336340319
"267"	0.977777777777778	0.974683544303797	1	8.91998910097971
"268"	1	1	1	6.69716198260812
"269"	1	1	1	6.78070266192709
"270"	1	1	1	7.56421414054233
"271"	1	1	1	7.50541060359471
"272"	0.988888888888889	0.987341772151899	1	8.92909990283126
"273"	1	1	1	7.45841047375603
"274"	0.988888888888889	1	0.909090909090909	8.61494403048729
"275"	0.988888888888889	1	0.909090909090909	8.18098965053562
"276"	0.988888888888889	1	0.909090909090909	7.83060188502987
"277"	1	1	1	7.28969185580904
"278"	1	1	1	8.32578059575297
"279"	1	1	1	8.78501949012447
"280"	0.988888888888889	0.987341772151899	1	7.88516450455802
"281"	0.988888888888889	0.987341772151899	1	8.41763430614485
"282"	1	1	1	7.48272794601644
"283"	1	1	1	7.67342446338376
"284"	1	1	1	7.19011698688028
"285"	1	1	1	7.75340001195225
"286"	1	1	1	7.60153357589532
"287"	1	1	1	6.98626283351019
"288"	0.988888888888889	0.987341772151899	1	8.84803974910204
"289"	1	1	1	6.94229202842575
"290"	1	1	1	7.43941430896981
"291"	0.988888888888889	1	0.909090909090909	7.7993756072606
"292"	1	1	1	9.01117010075207
"293"	1	1	1	7.46285391213336
"294"	0.988888888888889	0.987341772151899	1	7.8040178397436
"295"	1	1	1	7.67164334050418
"296"	0.988888888888889	0.987341772151899	1	8.18045755306599
"297"	1	1	1	7.24223553668379
"298"	0.988888888888889	0.987341772151899	1	6.70954599060595
"299"	1	1	1	7.36473485107811
"300"	0.988888888888889	0.987341772151899	1	7.46203947638611
"301"	0.988888888888889	1	0.909090909090909	7.39159225965358
"302"	1	1	1	8.05351722560306
"303"	0.988888888888889	0.987341772151899	1	7.82061353443834
"304"	0.977777777777778	0.974683544303797	1	7.27862589417447
"305"	1	1	1	7.23766752110272
"306"	1	1	1	8.17735025768407
"307"	0.977777777777778	0.974683544303797	1	7.80140743828402
"308"	1	1	1	7.37881165558979
"309"	1	1	1	7.45343247452651
"310"	0.988888888888889	0.987341772151899	1	8.09562094719737
"311"	0.988888888888889	0.987341772151899	1	8.38987861018214
"312"	1	1	1	6.74372527000643
"313"	1	1	1	8.02193676709344
"314"	1	1	1	7.12037158551567
"315"	1	1	1	8.23948167947741
"316"	1	1	1	7.23021646028462
"317"	0.988888888888889	1	0.909090909090909	8.91180488764897
"318"	1	1	1	7.38091440825461
"319"	0.988888888888889	0.987341772151899	1	8.34389006635528
"320"	1	1	1	6.08194789910923
"321"	1	1	1	7.9280922497051
"322"	0.977777777777778	0.987341772151899	0.909090909090909	8.95102890445942
"323"	1	1	1	7.39236802502127
"324"	1	1	1	6.91803037428878
"325"	1	1	1	6.75242630949924
"326"	1	1	1	7.73311542462778
"327"	0.988888888888889	0.987341772151899	1	8.66409894154506
"328"	1	1	1	7.49171412105507
"329"	1	1	1	7.30684240597254
"330"	1	1	1	7.16399049635321
"331"	0.988888888888889	0.987341772151899	1	8.47304658397046
"332"	0.977777777777778	0.987341772151899	0.909090909090909	8.94892508978236
"333"	1	1	1	7.35000441858025
"334"	0.988888888888889	1	0.909090909090909	9.13310209864635
"335"	1	1	1	7.43769957797437
"336"	0.988888888888889	0.987341772151899	1	7.75423786180692
"337"	1	1	1	7.46068654919463
"338"	0.988888888888889	0.987341772151899	1	8.19797433238123
"339"	1	1	1	7.90884424253415
"340"	1	1	1	6.773840664695
"341"	0.977777777777778	0.974683544303797	1	8.7714882876396
"342"	0.988888888888889	0.987341772151899	1	8.74919280769907
"343"	0.988888888888889	0.987341772151899	1	7.33841085131571
"344"	1	1	1	7.7923895013579
"345"	0.988888888888889	1	0.909090909090909	7.46071447774427
"346"	0.988888888888889	0.987341772151899	1	8.15062324361394
"347"	0.988888888888889	0.987341772151899	1	8.75580653859265
"348"	1	1	1	7.40595999217495
"349"	1	1	1	7.86744938415054
"350"	0.988888888888889	1	0.909090909090909	7.68900843740296
"351"	1	1	1	7.51740386162576
"352"	0.988888888888889	0.987341772151899	1	8.14244070972573
"353"	1	1	1	7.81348627557943
"354"	1	1	1	7.97243146402902
"355"	1	1	1	7.21230194026252
"356"	0.988888888888889	1	0.909090909090909	7.3832228388749
"357"	0.977777777777778	0.974683544303797	1	9.54106791852919
"358"	1	1	1	8.83351606983564
"359"	1	1	1	6.82427094857179
"360"	0.988888888888889	1	0.909090909090909	7.23762242272855
"361"	0.977777777777778	0.974683544303797	1	9.79653024196698
"362"	1	1	1	7.35090173458317
"363"	1	1	1	7.71102024408854
"364"	0.988888888888889	1	0.909090909090909	7.85815721081031
"365"	0.988888888888889	0.987341772151899	1	8.97358231601982
"366"	0.988888888888889	1	0.909090909090909	8.24731538510588
"367"	1	1	1	7.68369336254068
"368"	1	1	1	7.57546966482164
"369"	0.988888888888889	0.987341772151899	1	7.86309413658747
"370"	1	1	1	7.95500165508004
"371"	0.988888888888889	1	0.909090909090909	8.35293888725898
"372"	1	1	1	6.86094407982321
"373"	1	1	1	6.84213579269486
"374"	0.988888888888889	0.987341772151899	1	8.19624444052215
"375"	1	1	1	7.44798131684601
"376"	1	1	1	7.2953738457723
"377"	1	1	1	6.80044279238732
"378"	1	1	1	8.23590798805603
"379"	0.988888888888889	0.987341772151899	1	7.88813704528205
"380"	1	1	1	7.89017874260294
"381"	0.988888888888889	0.987341772151899	1	7.42107337969438
"382"	1	1	1	7.98671800659425
"383"	0.988888888888889	0.987341772151899	1	7.63684543810337
"384"	1	1	1	8.27495749476731
"385"	0.988888888888889	0.987341772151899	1	7.61657009162973
"386"	1	1	1	7.79477366245783
"387"	1	1	1	8.01369700158788
"388"	1	1	1	7.85558216126914
"389"	0.988888888888889	0.987341772151899	1	7.66687672603059
"390"	0.988888888888889	0.987341772151899	1	8.0943493215722
"391"	1	1	1	7.58497134462355
"392"	0.988888888888889	0.987341772151899	1	7.53007114795979
"393"	1	1	1	8.55398626615239
"394"	1	1	1	7.14996531873755
"395"	0.977777777777778	0.974683544303797	1	8.37169719368488
"396"	1	1	1	7.1701906500962
"397"	0.988888888888889	0.987341772151899	1	8.29107026535058
