"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"27"	"27"	"1"	"1"	"1"	"6.85727724849506"	"CHIT1|1118"	"PYCR1|5831"	"RNF149|284996"	"RRP1B|23076"	"SLC19A1|6573"	"SLC6A4|6532"	"TMPRSS4|56649"
"28"	"28"	"1"	"1"	"1"	"6.9332128082936"	"CNOT6L|246175"	"COL17A1|1308"	"GPM6A|2823"	"OTUD1|220213"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"29"	"29"	"0.988888888888889"	"0.987341772151899"	"1"	"6.92272430183212"	"C19orf59|199675"	"COL17A1|1308"	"GPM6A|2823"	"MYO1C|4641"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"30"	"30"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"8.14655723639921"	"ADAM8|101"	"C7|730"	"CASKIN2|57513"	"FABP4|2167"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"31"	"31"	"0.988888888888889"	"1"	"0.909090909090909"	"7.97870681475145"	"ANKS1A|23294"	"CASKIN2|57513"	"COL17A1|1308"	"GPM6A|2823"	"PYCR1|5831"	"RNF149|284996"	"SPTBN2|6712"
"32"	"32"	"1"	"1"	"1"	"6.99371537827002"	"ADAM8|101"	"CASKIN2|57513"	"FABP4|2167"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SPTBN2|6712"
"33"	"33"	"0.977777777777778"	"1"	"0.818181818181818"	"7.98468960504613"	"ATP13A1|57130"	"C1orf43|25912"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"34"	"34"	"0.988888888888889"	"1"	"0.909090909090909"	"7.43836139390856"	"COL17A1|1308"	"GPD1|2819"	"GPM6A|2823"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"	"TNFAIP1|7126"
"35"	"35"	"0.988888888888889"	"0.987341772151899"	"1"	"7.2709353327973"	"ADAM8|101"	"PNPLA6|10908"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"TSPAN13|27075"
"36"	"36"	"0.988888888888889"	"1"	"0.909090909090909"	"7.77646409312863"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"TNFAIP1|7126"	"TSPAN13|27075"
"37"	"37"	"1"	"1"	"1"	"6.80782633879004"	"C19orf59|199675"	"CASKIN2|57513"	"COL17A1|1308"	"GPM6A|2823"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"38"	"38"	"0.988888888888889"	"0.987341772151899"	"1"	"6.81370283130083"	"DOPEY2|9980"	"FABP4|2167"	"LTF|4057"	"PVRL1|5818"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"
"39"	"39"	"1"	"1"	"1"	"6.36869944607003"	"COL17A1|1308"	"GPD1|2819"	"GPM6A|2823"	"MACROD2|140733"	"PYCR1|5831"	"SAR1A|56681"	"SLC19A1|6573"
"40"	"40"	"0.988888888888889"	"0.987341772151899"	"1"	"7.03642685384517"	"GART|2618"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"	"STARD7|56910"	"TMPRSS4|56649"
"41"	"41"	"1"	"1"	"1"	"6.33759028333383"	"CYP51A1|1595"	"LGR4|55366"	"LTF|4057"	"PYCR1|5831"	"SLC19A1|6573"	"SLC6A4|6532"	"SPTBN2|6712"
"42"	"42"	"0.988888888888889"	"0.987341772151899"	"1"	"6.90520499798184"	"CYP51A1|1595"	"GPM6A|2823"	"HYAL2|8692"	"LTF|4057"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"
"43"	"43"	"1"	"1"	"1"	"6.85651422074517"	"CASKIN2|57513"	"COL17A1|1308"	"MYL6|4637"	"PYCR1|5831"	"RNF149|284996"	"SLC19A1|6573"	"SLC6A4|6532"
