"Accuracy"	"Sensitivity"	"Specificity"	"T2"
"1"	1	1	1	3.64650037249531
"2"	0.955555555555556	0.987341772151899	0.727272727272727	4.68935659078175
"3"	1	1	1	3.38304844020942
"4"	0.988888888888889	1	0.909090909090909	3.60986310584765
"5"	0.988888888888889	1	0.909090909090909	4.16428356469299
"6"	1	1	1	3.73954489851642
"7"	0.955555555555556	0.962025316455696	0.909090909090909	4.19154343430024
"8"	0.977777777777778	0.987341772151899	0.909090909090909	3.92553324605135
"9"	0.988888888888889	0.987341772151899	1	3.42211974029678
"10"	1	1	1	3.5857041910686
"11"	0.977777777777778	0.987341772151899	0.909090909090909	3.49592525805516
"12"	0.988888888888889	0.987341772151899	1	4.10041097453125
"13"	0.988888888888889	0.987341772151899	1	3.59744953225761
"14"	1	1	1	3.50500962366526
"15"	0.988888888888889	1	0.909090909090909	3.89842368481241
"16"	0.977777777777778	0.987341772151899	0.909090909090909	3.82965169271401
"17"	0.988888888888889	0.987341772151899	1	3.86738215866749
"18"	1	1	1	3.52061377389355
"19"	1	1	1	3.57381098839624
"20"	0.988888888888889	0.987341772151899	1	3.83639442201493
"21"	1	1	1	3.63112040731795
"22"	0.988888888888889	0.987341772151899	1	3.72917206441228
"23"	1	1	1	3.67623288320324
"24"	0.988888888888889	1	0.909090909090909	4.43564212121414
"25"	1	1	1	4.33191962253133
"26"	0.977777777777778	0.987341772151899	0.909090909090909	4.05855517791596
"27"	1	1	1	3.32250925127969
"28"	0.988888888888889	0.987341772151899	1	3.88983273057018
"29"	0.977777777777778	0.987341772151899	0.909090909090909	3.94541328420929
"30"	0.988888888888889	1	0.909090909090909	3.81577451171759
"31"	0.988888888888889	0.987341772151899	1	3.66832569428349
"32"	1	1	1	3.38955357865486
"33"	0.988888888888889	0.987341772151899	1	3.59840944700609
"34"	0.966666666666667	0.962025316455696	1	4.35295510305543
"35"	0.977777777777778	0.987341772151899	0.909090909090909	4.28890823885844
"36"	0.988888888888889	1	0.909090909090909	3.69771523314489
"37"	0.977777777777778	0.974683544303797	1	3.89203281801956
"38"	0.988888888888889	0.987341772151899	1	3.81488246417475
"39"	0.988888888888889	1	0.909090909090909	3.79864747901228
"40"	0.966666666666667	0.962025316455696	1	3.98481450119796
"41"	0.977777777777778	1	0.818181818181818	3.81657329622598
"42"	1	1	1	4.22271664187396
"43"	0.988888888888889	1	0.909090909090909	3.57388507586374
"44"	0.966666666666667	0.974683544303797	0.909090909090909	3.57139957058049
"45"	1	1	1	3.41119160353493
"46"	0.977777777777778	0.974683544303797	1	4.30048684414404
"47"	0.988888888888889	1	0.909090909090909	3.4891226656969
"48"	0.988888888888889	0.987341772151899	1	4.19111680423508
"49"	1	1	1	3.69691096394996
"50"	0.966666666666667	0.974683544303797	0.909090909090909	4.04886823115131
"51"	1	1	1	3.48753456432028
"52"	0.977777777777778	1	0.818181818181818	4.41657233908921
"53"	0.966666666666667	0.962025316455696	1	3.58587378101676
"54"	0.977777777777778	0.974683544303797	1	3.78943425954838
"55"	0.977777777777778	0.974683544303797	1	3.65334549613437
"56"	1	1	1	3.74574195005974
"57"	0.966666666666667	0.974683544303797	0.909090909090909	4.41837611061651
"58"	0.988888888888889	1	0.909090909090909	3.75328734444053
"59"	0.988888888888889	1	0.909090909090909	4.6084518221723
"60"	1	1	1	4.29135243232798
"61"	1	1	1	3.36861545151507
"62"	0.977777777777778	0.974683544303797	1	4.09039183327963
"63"	0.988888888888889	0.987341772151899	1	3.41627300568498
"64"	1	1	1	3.82819563346419
"65"	0.988888888888889	0.987341772151899	1	3.62177773963789
"66"	0.977777777777778	0.987341772151899	0.909090909090909	4.07571304198444
"67"	0.977777777777778	0.987341772151899	0.909090909090909	4.05567059485714
"68"	0.977777777777778	0.974683544303797	1	3.85795874814777
"69"	0.988888888888889	0.987341772151899	1	3.83748885478417
"70"	1	1	1	3.72768638886333
"71"	0.966666666666667	0.974683544303797	0.909090909090909	3.78146557874279
"72"	0.966666666666667	0.962025316455696	1	3.76976971696209
"73"	1	1	1	3.7913488668239
"74"	0.977777777777778	0.974683544303797	1	3.85253170805907
"75"	0.988888888888889	1	0.909090909090909	4.31185966576337
"76"	0.988888888888889	0.987341772151899	1	3.46633732959291
"77"	1	1	1	3.69176020670848
"78"	0.977777777777778	0.987341772151899	0.909090909090909	3.86977121262156
"79"	1	1	1	3.58094889826286
"80"	1	1	1	3.77586021894356
"81"	0.966666666666667	0.962025316455696	1	3.74614352565339
"82"	0.955555555555556	0.949367088607595	1	4.02337180807119
"83"	1	1	1	3.22229939978868
"84"	1	1	1	3.80588381621485
"85"	1	1	1	3.73874493954865
"86"	0.988888888888889	0.987341772151899	1	4.26694130842968
"87"	0.966666666666667	0.962025316455696	1	3.96541322361593
"88"	0.988888888888889	0.987341772151899	1	3.85427575177351
"89"	0.988888888888889	0.987341772151899	1	3.39072896004622
"90"	0.988888888888889	0.987341772151899	1	3.75769256704774
"91"	0.977777777777778	0.974683544303797	1	4.17075501167377
"92"	0.988888888888889	0.987341772151899	1	4.67516289711974
"93"	1	1	1	3.64248447830343
"94"	0.966666666666667	0.974683544303797	0.909090909090909	4.38241342439984
"95"	0.988888888888889	1	0.909090909090909	3.79469413462538
"96"	0.977777777777778	0.987341772151899	0.909090909090909	3.60894816579296
"97"	0.988888888888889	1	0.909090909090909	3.6113799914259
"98"	0.988888888888889	0.987341772151899	1	3.91621006119832
"99"	0.977777777777778	0.987341772151899	0.909090909090909	3.96262775563737
"100"	0.988888888888889	0.987341772151899	1	3.67630908084824
